service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly,25,26,0,1750,0.49,1.0,0.658,0.986
redis_energy_Anomaly,54,53,0,1694,0.505,1.0,0.671,0.971
ts-account-mongo_energy_Anomaly,94,95,0,1612,0.497,1.0,0.664,0.947
ts-admin-basic-info-service_energy_Anomaly,89,89,0,1623,0.5,1.0,0.667,0.951
ts-admin-order-service_energy_Anomaly,7,8,0,1786,0.467,1.0,0.637,0.996
ts-admin-route-service_energy_Anomaly,83,84,0,1634,0.497,1.0,0.664,0.953
ts-admin-travel-service_energy_Anomaly,86,87,0,1628,0.497,1.0,0.664,0.952
ts-admin-user-service_energy_Anomaly,11,12,0,1778,0.478,1.0,0.647,0.993
ts-assurance-mongo_energy_Anomaly,0,1,0,1800,0.0,0.0,0.0,0.999
ts-assurance-service_energy_Anomaly,0,1,0,1800,0.0,0.0,0.0,0.999
ts-auth-mongo_energy_Anomaly,0,1,0,1800,0.0,0.0,0.0,0.999
ts-auth-service_energy_Anomaly,0,1,0,1800,0.0,0.0,0.0,0.999
ts-avatar-service_energy_Anomaly,24,25,0,1752,0.49,1.0,0.658,0.986
ts-basic-service_energy_Anomaly,20,21,0,1760,0.488,1.0,0.656,0.988
ts-cancel-service_energy_Anomaly,6,7,0,1788,0.462,1.0,0.632,0.996
ts-config-mongo_energy_Anomaly,15,16,0,1770,0.484,1.0,0.652,0.991
ts-config-service_energy_Anomaly,30,31,0,1740,0.492,1.0,0.66,0.983
ts-consign-mongo_energy_Anomaly,87,88,0,1626,0.497,1.0,0.664,0.951
ts-consign-price-mongo_energy_Anomaly,88,89,0,1624,0.497,1.0,0.664,0.951
ts-consign-price-service_energy_Anomaly,37,38,0,1726,0.493,1.0,0.66,0.979
ts-consign-service_energy_Anomaly,30,31,0,1740,0.492,1.0,0.66,0.983
ts-contacts-mongo_energy_Anomaly,0,1,0,1800,0.0,0.0,0.0,0.999
ts-contacts-service_energy_Anomaly,0,1,0,1800,0.0,0.0,0.0,0.999
ts-execute-service_energy_Anomaly,2,3,0,1796,0.4,1.0,0.571,0.998
