time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders_disk,orders-db_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1720585816.535,0.08168155079186148,0.011556487263583692,0.004008684949137005,0.001860422384211601,0.01797641736988881,0.0161702745534892,0.004944398431344461,0.002055898289845499,0.004836337681967863,0.09304488109829036,0.0045591350142930205,0.005672462246153298,0.0069076212818984664,38624856.87357935,10347993.732006852,506574.98986266117,16486.413295494596,3386235.340987288,15069147.044743143,12649894.993195333,499429.7038423429,131412516.43783852,11174129.814681903,14245031.151506266,811794.8187637065,3686111.5024110097,15207193.835122796,23509.347326992458,866.5573597080447,12991.597573869012,105326.13813335265,7450707.71496962,146.69436286798944,75.15872142096958,810.7534234250446,3776168.424152082,225.17041706369565,10370.17490684116,7027.505372848604,0,74.63284865711891,0,0,0,2111.728963358498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04765582063392636,0.0032011698064272768,0.0012138509916954326,0.0007352361142374485,0.0054306715429380216,0.0006990772227234074,0.0006910521367289866,0.0004251352400060874,0.0009109896336585065,0.008040650461836725,0.0005031296034464107,0.0010566008826979807,0.0006726516397631375
1720585821.535,0.3022110497716812,0.02076173035257399,0.007787679215232029,0.004865476030575552,0.03774200801583957,0.12107899110973756,0.005049868708207804,0.0020514485408454778,0.0048139467857592115,0.08941707789617434,0.004498460342808484,0.007258536284430976,0.007688063425175582,38026269.764712356,10307004.373151392,528494.6065300804,21519.488074461897,3460901.256993388,40544100.06544978,12977087.515614668,329792.2106100604,131242853.76417519,10914668.63129144,13793675.006210301,821608.6729079857,4291837.925445705,22359477.26897614,26311.201437151827,4966.915224788244,19806.864456079114,182583.4483760808,24961666.2060941,225.73297082812846,148.12136115430516,956.957748503855,3687658.5865483093,290.7129422619682,11008.965131590816,7892.526562218621,0,74.32542778856448,0,0,0,7699213.204295445,0,0,0,0,0,0,73.76193048802449,0,0,0,0,0,0,0,0.08541874159279318,0.008860946083892136,0.002237275252348973,0.0016726398439271552,0.011365716234392111,0.004403451128078884,0.000722448400523859,0.00048226155891640474,0.0011799026473692843,0.008807362837515096,0.0004984673392042715,0.0013679192063217724,0.0009306189025461604
1720585826.535,0.4043327094040213,0.04683463480500278,0.011918339540296771,0.008372032723937325,0.06508774299827264,0.4158656813577587,0.004937360640732264,0.0021226033734766253,0.005175067604925898,0.08565720831823781,0.004487086232090675,0.009606221408735169,0.008442406624057925,44590966.80191145,10205643.508872764,533972.6505673552,23782.275750494337,2590861.8221953223,67164174.71264368,12932187.386727689,329075.0481539486,104878511.61454779,11002824.72284617,13853306.15154323,624364.121614311,3780946.3573222985,29104312.469569918,649609.8857676558,5511.783532150132,20100.80891605249,432612.38295296766,48006914.94252874,149.9679633867277,884.8085543014527,1029.4043729580294,3721821.896963988,510.94162092807744,16323.727774371553,8020.0975321412725,0,73.56850348444573,0,0,0,11122919.395555556,0,0,0,0,0,0,75.66129747303087,0,0,0,0,0,0,0,0.12729205872689814,0.012529284942701545,0.0025310560289861215,0.0019304312641405916,0.01519004228321094,0.16145078737165222,0.0008535325694446017,0.0005053356021102036,0.0012784720377817655,0.007310873605360189,0.00047096717598225793,0.001983939507768039,0.0011403708796445182
1720585831.535,0.48256257846947365,0.06675314847848111,0.015992423459384994,0.011217403817742529,0.09567993964428317,0.7219298488057354,0.005008613642261352,0.002436660724982302,0.005172124721923242,0.08474623102722374,0.003996147165606241,0.015189759727420378,0.010985420950971188,36801206.94163368,7692862.281492161,525664.3057738843,24406.510344827584,2654941.725107685,95474000.95102236,10479306.617238183,331897.1156813273,104814538.35665591,10836855.318086132,13972323.376109852,614645.8583433374,3692581.4138204916,28910995.0749503,654001.8021265093,17218.291325926846,20564.744827586208,488396.7106902566,66189975.63919676,151.8443002780352,966.5462598246538,1028.7764621456763,5490513.576194385,515.3312484273338,17065.461478709134,7911.618167376705,0,73.81510182014777,0,0,0,16859186.26548155,75.9221501390176,0,0,0,0,0,73.94035670445518,0,0,0,0,0,0,0,0.1596161689917745,0.022106400940108652,0.004648131916146837,0.0035875743027914526,0.0299249195461991,0.17390475627612917,0.0008010773701253868,0.0005641313692077679,0.0012093253251787932,0.007421404259593217,0.00052958342091214,0.004305217660150779,0.002097201339382627
1720585836.535,0.542717791298899,0.08721952566411341,0.020039043323263808,0.01493846340776555,0.11955879574876666,1.0336119078540063,0.0050396405761952015,0.0028113848935463633,0.005017887783540351,0.08241464568949936,0.0039905980159309976,0.02165854371749247,0.013150289558485812,36792793.91280996,10461836.206737934,727888.8445492474,23824.608501118568,4269915.942237229,95092085.5230005,12977364.64189909,341194.78986015276,107827893.61584319,10971180.046990782,14202574.685764397,637703.7320923441,3788549.6703459513,28908131.411690988,1307654.1610701208,17905.604933792856,20012.671140939598,494453.91191895964,65294724.929810666,150.5162973578804,4836.426700121767,831.5830272604787,5561099.150551238,523.8234434375913,20033.3607080938,8040.891917919846,0,75.36477212092218,0,0,0,17745416.842329565,75.2581486789402,0,0,0,0,0,75.85747092377213,0,0,0,0,0,0,0,0.18858556481066158,0.022855977244982516,0.004630644859673111,0.0036146219386572207,0.041973388076371236,0.3179139625887932,0.0008952312635179402,0.0008353685699597574,0.0013762321762564639,0.009949401171946589,0.0005861557414224835,0.006297664489373902,0.0030372700605842025
1720585841.535,0.6498941088163646,0.10827238487121804,0.023363850670095217,0.01841940165612982,0.147495414211281,1.3496163116388586,0.00512600156894224,0.0031127822898423807,0.004798309660126914,0.07873172578335962,0.003908420735393818,0.025327754991564855,0.014989068165497435,36823207.27950133,12952222.274924748,727152.2308289547,3846679.5339195086,5896287.719680069,118498581.26230203,12883188.09063378,342230.00583771156,106525201.66289839,8812126.93234745,14240059.212575343,669289.4829535974,3777198.4753908194,28932530.486494236,1926909.6415214813,18119.63960059946,19983.701479734078,1991801.3675027657,86771515.7557808,149.45087021563833,9639.22942206655,821.5301582670847,3724621.6132949125,450.2500778630708,20806.140041897626,7994.549706310188,0,74.72407187813555,0,0,0,18985680.39473397,74.72543510781917,0,0,0,0,0,75.42028024820932,0,0,0,0,0,0,0,0.22074407422636744,0.022843260710994226,0.0066599671766592585,0.005304740220177903,0.043695242282138794,0.3421505174851179,0.0008294420376007749,0.0008083664750796816,0.0013624053655005564,0.009173725250576666,0.0006106005415152631,0.007331190535163251,0.003452501735535591
1720585846.535,0.7098754783478401,0.12456969325436987,0.028013773912748667,0.021411298151781156,0.1712602541377508,1.6469085131094339,0.005018261910392375,0.00342421177432543,0.004906039040088257,0.07765854445294287,0.003962091065688794,0.031819828082264766,0.01769574307645183,44261025.67983997,13082818.329158686,747417.3495865146,3947984.379297068,4832861.101037209,141165324.87328157,12846000.181907482,338784.2645589171,107431722.83927916,11055515.15151515,6905248.921169932,647069.9392604695,3704991.0088470066,36236878.196464285,1949854.7222631501,19268.457503406822,20501.402563115338,2003436.280554145,93129818.32768115,149.01860913539375,9749.722903606797,753.2180948878265,5608354.312354311,436.43337891353383,20732.42638439953,7823.131948323394,0,150.87667599823192,0,0,0,34813129.401976444,74.50930456769687,0,0,0,0,0,73.80313158795654,0,0,0,0,0,0,0,0.24058752333254516,0.031556811899567334,0.008687878039838576,0.006857135425887203,0.05595357450510904,0.48253760457729533,0.0010733633684662926,0.000984742672503902,0.001349045190878738,0.012057539007718788,0.0006587075548042202,0.010063612639947414,0.004863562304255523
1720585851.535,0.7678408422739941,0.14345172715231996,0.03229623930417705,0.024773142192838674,0.19735989020429068,1.9448059338232622,0.0050120371709390845,0.003845963821959313,0.0044652543486593315,0.07493848518138138,0.003582790646578794,0.035862159653986536,0.019765346645189953,52021863.56764239,13000439.045807114,549793.7312951381,3949523.8130169264,4900342.056520384,173945837.9293389,12827728.721181622,336260.8570191891,106628852.53801084,8912627.370428788,14353469.369668772,661201.5721504773,3806689.4764126493,43826804.56838922,2571164.6421776675,18571.136717979967,20506.66617763025,2054797.997395881,109963812.88332427,148.82909725123994,9750.973885442214,672.8603500830488,5648056.92697062,378.12488460544296,20698.483997754072,8114.344960379175,0,149.8609688277477,0,0,0,50458077.43063207,74.41454862561997,0,0,0,0,0,75.83499962971192,0,0,0,0,0,0,0,0.24939818329247357,0.03285384853847885,0.008665555255073502,0.006895145487466887,0.056847705494365935,0.4864954111414342,0.0010875661681890554,0.0010435775138857319,0.0014146867078107274,0.013249368722762635,0.0006820249524114184,0.012666290690587965,0.0061282314508098274
1720585856.535,0.8114085522892351,0.16221882461959175,0.03571874854369143,0.028071623117386042,0.21867134840269067,2.226161751182765,0.004983590207547512,0.0038583692677548213,0.0044954935287023256,0.07387653519919773,0.003602460667086197,0.041882990286812284,0.022013722483486504,44050316.77085968,12817223.975901442,567204.6117714042,7817974.903931961,3699645.771144279,175603888.49261227,12865839.100566702,174729.49767727708,105159028.67531908,11061776.570334578,13978469.981120203,664795.8115183247,3698986.789201609,43477057.348317854,2538546.221973701,18510.853320048394,20364.74894825985,2005569.8649609098,115893188.15052041,149.27385703092258,9921.081647777597,663.5825247961407,5612666.3870908925,368.24597680481884,21372.820702663637,8160.827110855831,0,147.7660130954743,0,0,0,62078746.55339301,74.63692851546129,0,0,0,0,0,73.52096496266515,0,0,0,0,0,0,0,0.2698462433481408,0.0328978304377285,0.008859029929171034,0.007050932788196757,0.057018814864526604,0.48991119370862907,0.0011061089600767798,0.0010442191166011737,0.001315220720383175,0.014709626563967137,0.0008014575260626842,0.015210108680002622,0.006026627255810379
1720585861.535,0.8486352368966267,0.18264814869877458,0.04031853833598482,0.03164886535635892,0.2524563209054813,2.489304579515591,0.00478173557008315,0.004507714240440622,0.004098839313916311,0.07032467747083426,0.0034508948369515696,0.04675682672714708,0.024357635616742538,51580761.84937482,10576171.800111463,571615.1185505118,7691911.668308409,3844126.2971958485,178758805.02876627,10536741.81872458,177915.7508587741,107279260.14617844,8913285.49416685,14215802.622674983,470440.8809823342,3824434.0327893123,50915414.946205296,2615794.018205462,18865.427695836846,23034.727321572493,2089978.9504673583,114852666.24050005,152.84152393746035,10456.65288187561,676.975061519815,3772773.93792648,299.65067578689394,22498.715381753103,8413.01210169868,0,152.18279769645181,0,0,0,66896446.42261524,76.42076196873018,0,0,0,0,0,75.79290181710522,0,0,0,0,0,0,0,0.27184755462711113,0.042844429100667075,0.010705342419424715,0.008693697517812163,0.07034340171671498,0.5397774749682643,0.0011620225168474771,0.0009751059645506984,0.0014411937511228533,0.01753448840122487,0.0008907238322056914,0.01606308590483593,0.006305531722475016
