algorithm,scenario,service,users,column,start_time,end_time,avg_cpu_usage,avg_memory_usage,execution_time
BIRCH,scenario_A,front-end,100,carts_energy,2024-08-16 11:12:35.367192,2024-08-16 11:12:36.401198,0.0,497.85546875,0 days 00:00:01.034006
iforest,scenario_A,front-end,100,carts_energy,2024-08-16 11:12:36.699741,2024-08-16 11:12:37.822224,0.0,498.42578125,0 days 00:00:01.122483
knn,scenario_A,front-end,100,carts_energy,2024-08-16 11:12:38.181564,2024-08-16 11:12:39.331458,0.0,498.07421875,0 days 00:00:01.149894
lof,scenario_A,front-end,100,carts_energy,2024-08-16 11:12:39.684933,2024-08-16 11:12:40.770564,0.0,499.83984375,0 days 00:00:01.085631
svm,scenario_A,front-end,100,carts_energy,2024-08-16 11:12:40.978643,2024-08-16 11:12:42.415028,0.0,500.89453125,0 days 00:00:01.436385
BIRCH,scenario_A,front-end,100,carts-db_energy,2024-08-16 11:12:42.416996,2024-08-16 11:12:43.447043,0.0,500.921875,0 days 00:00:01.030047
iforest,scenario_A,front-end,100,carts-db_energy,2024-08-16 11:12:43.697629,2024-08-16 11:12:44.777792,0.0,502.7265625,0 days 00:00:01.080163
knn,scenario_A,front-end,100,carts-db_energy,2024-08-16 11:12:44.959420,2024-08-16 11:12:46.258857,0.0,501.4140625,0 days 00:00:01.299437
lof,scenario_A,front-end,100,carts-db_energy,2024-08-16 11:12:46.443753,2024-08-16 11:12:47.523980,0.0,501.6953125,0 days 00:00:01.080227
svm,scenario_A,front-end,100,carts-db_energy,2024-08-16 11:12:47.687767,2024-08-16 11:12:49.171272,0.0,501.421875,0 days 00:00:01.483505
BIRCH,scenario_A,front-end,100,catalogue_energy,2024-08-16 11:12:49.171272,2024-08-16 11:12:50.201539,0.0,501.421875,0 days 00:00:01.030267
iforest,scenario_A,front-end,100,catalogue_energy,2024-08-16 11:12:50.403887,2024-08-16 11:12:51.486911,0.0,502.47265625,0 days 00:00:01.083024
knn,scenario_A,front-end,100,catalogue_energy,2024-08-16 11:12:51.656303,2024-08-16 11:12:52.984113,0.0,501.09765625,0 days 00:00:01.327810
lof,scenario_A,front-end,100,catalogue_energy,2024-08-16 11:12:53.150617,2024-08-16 11:12:54.244870,0.0,501.37890625,0 days 00:00:01.094253
svm,scenario_A,front-end,100,catalogue_energy,2024-08-16 11:12:54.516581,2024-08-16 11:12:55.892604,0.0,501.1015625,0 days 00:00:01.376023
BIRCH,scenario_A,front-end,100,catalogue-db_energy,2024-08-16 11:12:55.894603,2024-08-16 11:12:56.931067,0.0,501.12109375,0 days 00:00:01.036464
iforest,scenario_A,front-end,100,catalogue-db_energy,2024-08-16 11:12:57.119115,2024-08-16 11:12:58.281161,0.0,502.5859375,0 days 00:00:01.162046
knn,scenario_A,front-end,100,catalogue-db_energy,2024-08-16 11:12:58.533879,2024-08-16 11:12:59.714968,0.0,501.44140625,0 days 00:00:01.181089
lof,scenario_A,front-end,100,catalogue-db_energy,2024-08-16 11:12:59.997661,2024-08-16 11:13:01.077339,0.0,501.72265625,0 days 00:00:01.079678
svm,scenario_A,front-end,100,catalogue-db_energy,2024-08-16 11:13:01.257993,2024-08-16 11:13:02.663000,0.0,501.44921875,0 days 00:00:01.405007
