algorithm,scenario,service,users,column,start_time,end_time,avg_cpu_usage,avg_memory_usage,execution_time
BIRCH,scenario_A,ts-order-service,100,ts-admin-basic-info-service_energy,2024-08-28 15:13:24.772067,2024-08-28 15:13:25.808732,0.0,724.46875,0 days 00:00:01.036665
iforest,scenario_A,ts-order-service,100,ts-admin-basic-info-service_energy,2024-08-28 15:13:26.379916,2024-08-28 15:13:27.460095,0.0,725.90625,0 days 00:00:01.080179
knn,scenario_A,ts-order-service,100,ts-admin-basic-info-service_energy,2024-08-28 15:13:27.929655,2024-08-28 15:13:29.095147,0.0,724.58984375,0 days 00:00:01.165492
lof,scenario_A,ts-order-service,100,ts-admin-basic-info-service_energy,2024-08-28 15:13:29.558317,2024-08-28 15:13:30.632086,0.0,725.05078125,0 days 00:00:01.073769
svm,scenario_A,ts-order-service,100,ts-admin-basic-info-service_energy,2024-08-28 15:13:31.310273,2024-08-28 15:13:32.659586,0.0,724.671875,0 days 00:00:01.349313
BIRCH,scenario_A,ts-order-service,100,ts-admin-order-service_energy,2024-08-28 15:13:32.659586,2024-08-28 15:13:33.704902,0.0,724.6796875,0 days 00:00:01.045316
iforest,scenario_A,ts-order-service,100,ts-admin-order-service_energy,2024-08-28 15:13:34.207524,2024-08-28 15:13:35.320183,0.0,727.1875,0 days 00:00:01.112659
knn,scenario_A,ts-order-service,100,ts-admin-order-service_energy,2024-08-28 15:13:35.769776,2024-08-28 15:13:36.918510,0.0,725.0703125,0 days 00:00:01.148734
lof,scenario_A,ts-order-service,100,ts-admin-order-service_energy,2024-08-28 15:13:37.418143,2024-08-28 15:13:38.500889,0.0,725.51171875,0 days 00:00:01.082746
svm,scenario_A,ts-order-service,100,ts-admin-order-service_energy,2024-08-28 15:13:38.966704,2024-08-28 15:13:40.382101,0.0,725.16796875,0 days 00:00:01.415397
BIRCH,scenario_A,ts-order-service,100,ts-admin-route-service_energy,2024-08-28 15:13:40.382101,2024-08-28 15:13:41.416108,1.5,725.16796875,0 days 00:00:01.034007
iforest,scenario_A,ts-order-service,100,ts-admin-route-service_energy,2024-08-28 15:13:41.983299,2024-08-28 15:13:43.101525,0.0,727.02734375,0 days 00:00:01.118226
knn,scenario_A,ts-order-service,100,ts-admin-route-service_energy,2024-08-28 15:13:43.702129,2024-08-28 15:13:44.865674,0.0,725.08984375,0 days 00:00:01.163545
lof,scenario_A,ts-order-service,100,ts-admin-route-service_energy,2024-08-28 15:13:45.652402,2024-08-28 15:13:46.734993,0.0,725.37890625,0 days 00:00:01.082591
svm,scenario_A,ts-order-service,100,ts-admin-route-service_energy,2024-08-28 15:13:47.192386,2024-08-28 15:13:48.574148,0.0,725.02734375,0 days 00:00:01.381762
BIRCH,scenario_A,ts-order-service,100,ts-admin-travel-service_energy,2024-08-28 15:13:48.574148,2024-08-28 15:13:49.649934,0.0,725.02734375,0 days 00:00:01.075786
iforest,scenario_A,ts-order-service,100,ts-admin-travel-service_energy,2024-08-28 15:13:50.295634,2024-08-28 15:13:51.421444,0.0,727.0078125,0 days 00:00:01.125810
knn,scenario_A,ts-order-service,100,ts-admin-travel-service_energy,2024-08-28 15:13:51.936858,2024-08-28 15:13:53.102176,0.0,725.33984375,0 days 00:00:01.165318
lof,scenario_A,ts-order-service,100,ts-admin-travel-service_energy,2024-08-28 15:13:53.750981,2024-08-28 15:13:54.835688,0.0,725.53125,0 days 00:00:01.084707
svm,scenario_A,ts-order-service,100,ts-admin-travel-service_energy,2024-08-28 15:13:55.349916,2024-08-28 15:13:56.722475,0.0,725.15625,0 days 00:00:01.372559
BIRCH,scenario_A,ts-order-service,100,ts-admin-user-service_energy,2024-08-28 15:13:56.722475,2024-08-28 15:13:57.757936,0.0,725.16015625,0 days 00:00:01.035461
iforest,scenario_A,ts-order-service,100,ts-admin-user-service_energy,2024-08-28 15:13:58.262989,2024-08-28 15:13:59.672806,0.0,727.69140625,0 days 00:00:01.409817
knn,scenario_A,ts-order-service,100,ts-admin-user-service_energy,2024-08-28 15:14:00.164930,2024-08-28 15:14:01.330233,0.0,725.30859375,0 days 00:00:01.165303
lof,scenario_A,ts-order-service,100,ts-admin-user-service_energy,2024-08-28 15:14:01.815013,2024-08-28 15:14:02.898254,0.0,725.609375,0 days 00:00:01.083241
svm,scenario_A,ts-order-service,100,ts-admin-user-service_energy,2024-08-28 15:14:03.396767,2024-08-28 15:14:04.757460,0.0,725.1640625,0 days 00:00:01.360693
BIRCH,scenario_A,ts-order-service,100,ts-assurance-mongo_energy,2024-08-28 15:14:04.757460,2024-08-28 15:14:05.809027,0.0,725.171875,0 days 00:00:01.051567
iforest,scenario_A,ts-order-service,100,ts-assurance-mongo_energy,2024-08-28 15:14:06.392953,2024-08-28 15:14:07.476655,0.0,727.33203125,0 days 00:00:01.083702
knn,scenario_A,ts-order-service,100,ts-assurance-mongo_energy,2024-08-28 15:14:07.978301,2024-08-28 15:14:09.148265,0.0,725.48046875,0 days 00:00:01.169964
lof,scenario_A,ts-order-service,100,ts-assurance-mongo_energy,2024-08-28 15:14:09.937483,2024-08-28 15:14:11.040282,0.0,725.9140625,0 days 00:00:01.102799
svm,scenario_A,ts-order-service,100,ts-assurance-mongo_energy,2024-08-28 15:14:11.552178,2024-08-28 15:14:12.901343,0.0,725.5625,0 days 00:00:01.349165
BIRCH,scenario_A,ts-order-service,100,ts-assurance-service_energy,2024-08-28 15:14:12.904645,2024-08-28 15:14:13.933661,0.0,725.63671875,0 days 00:00:01.029016
iforest,scenario_A,ts-order-service,100,ts-assurance-service_energy,2024-08-28 15:14:14.450029,2024-08-28 15:14:15.548895,0.0,727.11328125,0 days 00:00:01.098866
knn,scenario_A,ts-order-service,100,ts-assurance-service_energy,2024-08-28 15:14:16.017139,2024-08-28 15:14:17.181482,0.0,725.8515625,0 days 00:00:01.164343
lof,scenario_A,ts-order-service,100,ts-assurance-service_energy,2024-08-28 15:14:17.646161,2024-08-28 15:14:18.731434,0.0,726.1796875,0 days 00:00:01.085273
