Method,Name,Error,Occurrences
GET,/adminlogin.html,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/index.html,RemoteDisconnected('Remote end closed connection without response'),23
GET,/index.html,"ConnectionResetError(104, 'Connection reset by peer')",4
