Algorithm,Precision Level,Min,Max,Median,Mean,SD,CV,MAP
causalRCA,Precision@1,0.0,1.0,0.0,0.038,0.19,0.036,0.11
causalRCA,Precision@2,0.0,1.0,0.0,0.133,0.34,0.116,0.11
causalRCA,Precision@3,0.0,1.0,0.0,0.158,0.365,0.134,0.11
circa,Precision@1,0.0,1.0,0.0,0.483,0.5,0.251,0.657
circa,Precision@2,0.0,1.0,1.0,0.696,0.46,0.213,0.657
circa,Precision@3,0.0,1.0,1.0,0.792,0.406,0.166,0.657
MicroRCA,Precision@1,0.0,1.0,0.0,0.008,0.091,0.008,0.219
MicroRCA,Precision@2,0.0,1.0,0.0,0.293,0.455,0.208,0.219
MicroRCA,Precision@3,0.0,1.0,0.0,0.356,0.479,0.23,0.219
rcd,Precision@1,0.0,1.0,0.0,0.338,0.473,0.225,0.39
rcd,Precision@2,0.0,1.0,0.0,0.358,0.48,0.231,0.39
rcd,Precision@3,0.0,1.0,0.0,0.475,0.499,0.25,0.39
