Model,Level,Scenario,Service,Users,Metric,Value
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,1.0
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.3333333333333333
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.3333333333333333
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.3333333333333333
circa,low,scenario_A,front-end,100,Precision@3,0.3333333333333333
circa,low,scenario_A,front-end,100,Precision@3,0.3333333333333333
circa,low,scenario_A,front-end,100,Precision@3,0.3333333333333333
circa,low,scenario_A,front-end,100,Precision@3,0.3333333333333333
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.3333333333333333
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,low,scenario_A,front-end,100,Precision@3,0.6666666666666666
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,1.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
