service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
carts_energy_Anomaly,2,2,0,1796,0.5,1.0,0.667,0.5
carts-db_energy_Anomaly,6,6,0,1788,0.5,1.0,0.667,0.5
catalogue_energy_Anomaly,4,4,0,1792,0.5,1.0,0.667,0.5
catalogue-db_energy_Anomaly,10,10,0,1780,0.5,1.0,0.667,0.5
front-end_energy_Anomaly,31,27,0,1742,0.534,1.0,0.696,0.534
orders_energy_Anomaly,6,6,0,1788,0.5,1.0,0.667,0.5
orders-db_energy_Anomaly,120,113,4,1563,0.515,0.968,0.672,0.506
payment_energy_Anomaly,3,3,0,1794,0.5,1.0,0.667,0.5
queue-master_energy_Anomaly,11,11,0,1778,0.5,1.0,0.667,0.5
rabbitmq_energy_Anomaly,114,109,5,1572,0.511,0.958,0.666,0.5
shipping_energy_Anomaly,40,37,1,1722,0.519,0.976,0.678,0.513
user_energy_Anomaly,2,2,0,1796,0.5,1.0,0.667,0.5
user-db_energy_Anomaly,5,5,0,1790,0.5,1.0,0.667,0.5
