time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders_disk,orders-db_disk,queue-master_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1720444905.46,0.015725890531311508,0.01011349464292219,0.006469634632155431,0.0031193323258439536,0.034119823896309916,0.0019852181650150697,0.005113362748338288,0.002176206629017786,0.0024714273487188923,0.09354049075436213,0.003949293079390411,0.005126672086083745,0.007191504072512344,23424507.798489213,7000057.6247873455,524877.2456134232,8767895.123994026,182969.87723757504,21963550.22380081,3397689.985678087,861341.0742245915,106805860.9485735,11445704.176830972,28512191.943170905,1666993.1096844198,3377830.8285580426,74.19886600365922,0,20217.811420797436,223.73547940715923,31750.220828150632,0,225.62520656604602,432.3639626326068,1116.4819189532982,7733897.245861343,14090201.402605876,4000.072339271182,0,0,963.6949361132225,0,0,101299.15092868001,0,75.208402188682,0,0,0,0,0,0,0,0,2107.5132046220683,0,0,0,0,0,0.0008864445947159732,0.0008560610338080946,0.0007157640303877781,0.0003016615871872976,0.0013903953500067985,0.00025261340556873105,0.0006728168336876699,0.00037453063575562835,0.0004159457331844308,0.01064937065639097,0.0005853250651064651,0.0009016985352451261,0.000841555610842149
1720444910.46,0.036902470466894016,0.023553799268657676,0.01036187733470734,0.006929104558754525,0.16678502589508126,0.003838094603719525,0.004915656644651913,0.0022828653273673626,0.0024405968983762056,0.09046681309842972,0.0038752481426448837,0.007593522574552314,0.008054737863904902,23826129.10949443,8562891.979241693,556253.4273043446,8702168.98457537,29611211.157863952,22112958.300636895,4145428.8012872087,894230.3716555565,80428595.65772669,11200783.20658022,28510641.974413797,1673823.980240456,3996653.9967257455,5582.539828713509,853815.576116867,21632.07772850229,295.92168478849834,18059435.62479087,7238581.382192455,229.90140133585288,448.83572276504424,1270.4251049078634,7569655.413908192,14089435.436523754,4016.9990192873483,0,0,1739.8563170628106,0,0,10655587.936161404,0,76.6338004452843,0,0,0,0,0,72.88775001779486,0,0,2146.2997360300405,0,0,0,0,0,0.004141642186825812,0.0030676319703809934,0.0016050527629377534,0.0009194288238007936,0.004895840095220964,0.0003609102684195791,0.000631924996089554,0.00041937476880133225,0.0003738720583323085,0.010597984599920566,0.0006369424243228023,0.0010144350151007116,0.0008924875408611076
1720444915.46,0.07155311634448319,0.05041704341637039,0.01761145046362339,0.009861875992779786,0.49505354095449866,0.013143526581871259,0.004990755993323427,0.002533278578045815,0.0024611340352666696,0.0881124178516897,0.0037978609065052456,0.010421631236558199,0.009064423549732671,23176812.798968058,6877562.989323842,542091.8687589158,17385375.884476535,52643245.15548541,28851855.800493054,3387150.608044902,713755.0271566367,80302521.71378607,9044369.469637044,28686263.710618436,1642229.4662377133,3440667.095422723,5797.230234516366,822625.4804270462,21473.323823109844,295.74007220216606,24384926.305217277,14162583.300582374,150.2595425448009,446.4224083122923,1268.4348586417952,5731340.753141155,14176261.37689615,3931.3911946108315,0,0,3061.0676156583627,0,0,16545308.918782096,0,75.12977127240045,0,0,0,0,0,75.26506311901656,0,0,2087.595817565508,0,0,0,0,0,0.014914047773011677,0.010587421523439491,0.0029932886151471283,0.0020717548233082335,0.22235613090821824,0.0022087936347165954,0.0007295562516160505,0.0004747257867518697,0.00033636925557431073,0.011686812610816806,0.0006363007600050191,0.0012689987160928724,0.0010631574041425906
1720444920.46,0.09556226776107839,0.0667420892726787,0.021661031168923428,0.013532403711585617,0.7184499599706139,0.02155811974389382,0.004845894324601955,0.0032170645750726344,0.002441162938553296,0.08679073010348932,0.0038391422710596134,0.01656755840587202,0.01143423415685924,23928960.272123937,6882942.757945341,568901.0200092405,17370473.5247439,61650279.54952069,29052192.367181037,2710530.7799545084,541722.5135673434,52636207.81918799,9001221.65033428,28425415.33679131,1372308.0554735912,3362024.4721947717,6436.322629545412,1645911.5819460521,21399.296300245227,295.48405713461256,25562330.950205162,21379687.924894787,150.26781128476043,748.4422679847241,1247.058402134785,5710016.814726624,14052512.768610725,8309.235762761879,0,0,4229.822843407817,0,0,17278646.01814522,0,75.13390564238021,0,0,0,0,0,73.59626268978529,0,0,2104.9531079216613,0,0,0,0,0,0.016985788929865103,0.011518710711594264,0.003087703364478493,0.0020982001409156786,0.1753489964838519,0.004113681511442675,0.0008414995596208223,0.0005290999157188945,0.00043070986639442,0.010319578032214134,0.0007266147978337315,0.0025946951609261033,0.001700136432247423
1720444925.46,0.12770941933448698,0.08375395672838713,0.025583955192599525,0.016101888868814244,0.9615009763870783,0.02711228721003687,0.004960463226345524,0.0034329228937697354,0.0023774171767168245,0.08476284135353279,0.0038269037998951237,0.021040845531016046,0.013872136717173581,31103861.561756436,7095559.1360358205,862818.2409481824,17401543.225713205,89513010.6832778,29137684.772993952,2681636.3867545817,512362.18706326885,78208115.81244345,8875319.983387806,28445979.562677473,1378791.3733046765,2747597.4612026266,7687567.957314875,2542627.3466316774,21831.32181831322,296.01257475293147,36701646.137544066,28600794.151096668,148.80206346611445,1554.7542228126779,1235.3327301435236,7501505.859410267,14062678.989347273,8348.032313051212,0,0,5186.427614555998,0,0,33678639.1552272,0,74.40103173305722,0,0,0,0,0,75.13666214183512,0,0,2124.6924525568593,0,0,0,0,0,0.03152006766980467,0.02068392943645746,0.0054960919423139905,0.003765724936247752,0.20724067753873773,0.004673450962180466,0.0008555413069090265,0.0008993462259326024,0.00044677314930735367,0.013426191450349375,0.0007439955929369871,0.003382738083428558,0.002127965311686333
1720444930.46,0.16103574988572156,0.1027576012321683,0.03017675769726724,0.02039451569943896,1.1822399560478958,0.035381972363556606,0.004889884826128998,0.003773967973595445,0.0024166910402776704,0.08127351831760153,0.0038431583155368186,0.027763158708587338,0.015873325542601225,23672335.1191238,8504881.587150242,1121478.1579551678,26570469.088568006,110796468.55400205,29551952.56048904,2645904.809655123,536085.5971854484,80525362.31619325,11100721.420563454,27759311.81277467,1366637.1850437082,2713114.467552719,7798135.122780712,2541280.428325204,21344.261715920933,301.3703669640393,39764268.731626876,36236683.33394341,73.34455466819468,4011.1711581009026,1271.9335099095806,7509185.201258545,13723215.72918689,8274.443546609857,0,0,6308.702189299203,0,0,33878160.061413445,0,73.34455466819468,0,0,0,0,0,74.26882558793132,0,0,2137.2797017279704,0,0,0,0,0,0.03179429642098193,0.02109767468531263,0.005541507386823441,0.003928270833158408,0.3139719312680842,0.0089196440120826,0.0009970023053816038,0.0010063537195871526,0.00040583109433902764,0.013548559287649404,0.0008326019422976866,0.003578360365292685,0.0032975147005755764
1720444935.46,0.18920045969271998,0.12248292003447109,0.03426454708169764,0.02367857305686256,1.4704022635629845,0.039651383799945795,0.005100765878823359,0.003816435414650182,0.0024144989824237267,0.08084084771471439,0.0039133729625906504,0.03186459674355491,0.017969706230535298,32101281.94635616,6940528.1961974185,1181542.8582060393,26343284.239705294,126270406.28212911,36551595.10736613,2701019.171666911,362870.42752524785,81560794.81961149,8989181.395689245,28233195.375888564,1346289.0637720486,2046619.9209572554,7933495.331274877,2488309.52081725,22481.62688150036,298.7927198453514,56655857.049066044,35877501.2050376,74.93048441387386,4039.373961320013,1288.2886216466238,5701304.64375892,13957486.895957492,8225.345997286295,0,0,7427.350580800374,0,0,33329659.41134088,0,74.93048441387386,0,0,0,0,0,74.5988671754057,0,0,2102.676238437087,0,0,0,0,0,0.03397241003348188,0.02147865249332711,0.007873692616589809,0.005711735598763336,0.3470895605219804,0.01169495088024748,0.0010148875908264955,0.0011932996178907534,0.00046002471402869236,0.013634298887364144,0.0007981892126266518,0.006002669196850454,0.0032438583993759647
1720444940.46,0.2327929286431976,0.13946635409057723,0.03833639034116085,0.027479704821271,1.7092114984089246,0.04364726520650095,0.004973557239517792,0.004360733668992838,0.00224993217513705,0.07885985097945179,0.003969152358827103,0.036633208964530664,0.02011810322208608,31530572.352436107,7059167.275383491,1125900.9304386354,26563521.035598706,166081974.78312606,36881523.154834814,2024282.030238369,365526.09073912964,81645830.78974664,11323421.99431881,28770827.88519582,1362303.4882441405,2025044.330714337,7794065.657026983,2530977.9401022643,21487.2131147541,301.2650779641071,78419155.41068034,36197595.91933744,0,4245.895266830794,986.2201807675214,7660413.029844689,14223273.272723947,8338.334005795401,0,0,8452.300949598246,0,0,50030684.89285541,0,74.70226696576755,0,0,0,0,0,73.81244143299935,0,0,2143.321141185077,0,0,0,0,0,0.03798291980290578,0.031126678726840117,0.007882534765589344,0.005755053102609401,0.35248934996135256,0.014272043063930312,0.0012516236110739747,0.0013030906621855124,0.0005523035261588091,0.012129497638006541,0.0008501877511944035,0.006179101029840933,0.0032297014539611913
1720444945.46,0.2619350647405333,0.16168408276201607,0.04315485248559396,0.030497733466106864,2.0234714914291936,0.05428526860811805,0.005100417644736369,0.004357509236288349,0.0021410917156562096,0.07779819330297644,0.0034561531901851524,0.042988182114170194,0.022492549509172396,24229094.2683497,7054180.730800087,1394734.6643875446,34558557.72060143,197449293.1608119,44262754.495399415,2649881.6266465667,179399.66802905637,79488503.19183469,9099998.223011993,28342426.595994014,1002841.839746686,2711070.240060968,7978602.038335672,2529566.0418641963,21365.28803284755,293.9677755050777,94676068.69423111,43445232.84614118,73.5077707189261,4093.8799550232916,295.45208641396476,7686975.270250258,14004691.221807562,8133.526538936296,0,0,9708.992779520093,0,0,49718199.695211835,0,73.5077707189261,0,0,0,0,0,74.32273048937599,0,0,2091.055959658256,0,0,0,0,0,0.053929206396067804,0.03210198989591922,0.007948400317470749,0.007526240133912426,0.4433170564242779,0.01657378300688065,0.0011808400973380814,0.0013640060030838497,0.0005166690500377711,0.01398441569728766,0.000982945666364031,0.006270048051114055,0.0031897055087595763
1720444950.46,0.28665222138099217,0.18080993903825693,0.0472669319358902,0.034136464793714585,2.2571992537267143,0.05695163636859745,0.005045251909667633,0.004863774157893781,0.002140714860175207,0.0742917409395731,0.0034720280608044924,0.047836078669188854,0.023957328240539387,31437877.18851236,8514866.302314492,1133796.1926091826,44821199.88084599,216707575.63902423,51326137.369033754,2050689.4038877687,182278.64248310353,53958657.24096142,11108057.625219168,28743554.68564216,1050548.5701568932,2032707.5540089891,7765522.804207767,3392124.4177089827,21213.885778275475,305.0342567768841,95022155.36648968,43201043.07334109,75.75785599348956,4230.408233524797,300.83913259029396,5637173.399851779,14209636.672947116,8431.734727940358,0,0,10892.418295858855,0,0,50036020.87593191,0,75.75785599348956,0,0,0,0,0,74.2351747136436,0,0,0,0,0,0,0,0,0.06719363425818067,0.04071762822029994,0.010248531216610823,0.007529139029368658,0.48038726996444425,0.018658173313408653,0.001370601693332264,0.001554064354581008,0.0006114063659282443,0.016924165717717873,0.0010385862822605487,0.009029603423642448,0.004252168764547331
