time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders-db_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1720387520.284,0.2776535490393973,0.021490363451074915,0.020185721923989222,0.013121547702766979,0.11418584371348357,0.004310556263384242,0.004902146281138788,0.002058261890705222,0.004601588003969279,0.08758809194256816,0.004298827499023991,0.04209494990642149,0.014736606529049996,45174555.599610716,7568630.948372118,372190.97216029675,636317.8621151029,2896524.0193837434,21586094.69308427,10057793.59430605,1270.7496897583765,81329287.22114006,8896134.647325877,228.43970180885276,257820.12753793155,1340498.0212184833,22085889.48563602,38039.52288960176,10884.48574129229,627504.8004773356,655539.7641035019,2358.7251885043815,291.5302491103203,1270.7496897583765,827.9613363225403,7507141.180378695,304.58626907847037,39855.16382027414,66743.31580609799,0,72.59450933130107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07442329631031482,0.0036109636555105335,0.003207637436272232,0.0020194652724235354,0.02215498152821176,0.0004898351673646499,0.0006433980793904937,0.0003521970309123228,0.0006445557734213276,0.011352709107478442,0.0006067809813964601,0.009297458899726645,0.002880983061160903
1720387525.284,0.3352030509269123,0.026361137609733593,0.04672712365591397,0.03845859392870259,0.17294161845085806,0.004333443401505432,0.00502802613325606,0.0020809267470255645,0.004542082365133917,0.08660923054919911,0.004188134496901352,0.05495744916289258,0.019900079834139106,44514943.390865825,7790908.89857557,376676.0444209413,680871.0015635059,3062352.0740673505,21652260.87113486,7679712.552293677,1207.6361760153313,80467904.3618975,8895277.18314018,296.02327136068806,256586.02521710697,1307186.7021565537,21769255.20278429,42805.960349450106,23826.546800634584,661583.2980778073,823215.3217754379,2292.0269318940773,519.2603727113027,1207.6361760153313,968.1630575101367,7504520.85332546,296.02327136068806,40631.081719414266,67936.62520144132,0,74.70499188385708,0,0,0,0,0,0,0,0,0,0,74.16662139895341,0,0,0,0,0,0,0.12795174053870417,0.00532719571097181,0.012213362999897885,0.008727530413707326,0.037603790375003374,0.0005055293921716336,0.0005819337728196904,0.000502732133054651,0.0005830914668505242,0.00997204140913852,0.0005453166748256568,0.01075869117359139,0.0035535987054678576
1720387530.284,0.33647846265523246,0.02652743912612713,0.09597751530109351,0.06678654799146838,0.2511583187330477,0.0045178705483628,0.004857819739708027,0.0017560817565334885,0.00474801853450651,0.08489306668249129,0.004197958653581569,0.0552962762187825,0.020490388459983085,44320547.69953386,7705704.757269302,377545.4785967511,665759.3122178456,3255265.022251852,14341582.182691963,10170950.55172538,1193.9732915520412,81295732.25077611,10998104.405937882,375.67641933412824,253169.36972455692,1328139.4066394616,21518975.767711632,45484.037279397184,29475.42197999894,652203.9605028867,1026564.566404209,2570.7420291934154,368.65695822007814,1268.5966222740437,978.1223020261211,7425855.716033378,375.67641933412824,40078.421533664274,70020.95511194441,0,73.83772285616426,0,0,0,0,0,0,0,0,0,0,75.29134958273592,0,0,0,0,0,0,0.13498727436388575,0.006495535159813254,0.015235772258329798,0.01006831371838217,0.06566828659732907,0.0006561945702750323,0.0006945415126411842,0.0005775784839303131,0.000733756644953923,0.010209648435606854,0.0006170741977295357,0.012851496011825586,0.004269404908302938
1720387535.284,0.38208858066990087,0.028551638323003385,0.13603185458892947,0.09264922579964288,0.3150338136636643,0.00452758448723493,0.004934151779308366,0.001938143719074977,0.004618418702296883,0.08412897240634269,0.004031392073846576,0.06061452708676943,0.021732773802446443,44141289.00620674,7997992.161524601,393778.5407725322,670269.2459534147,3350287.4954693727,14419450.16587336,7601829.817764385,1134.1233802192935,78738489.36965147,8831292.196140183,446.5684225828139,258319.11163062532,1386658.5959033673,28709549.832346432,48540.000371491726,31642.91845493562,652481.6423213579,1103797.0279086626,2510.88994663205,367.34108193428034,1209.7316055672463,874.4818261070684,5592081.73728348,446.5684225828139,41220.33898305084,68550.75753481418,0,76.08150528446978,0,0,0,0,0,0,0,0,0,0,73.78983588246952,0,0,0,0,0,0,0.13949711430151593,0.006977539906215357,0.017060966251465037,0.011867078546827765,0.06879864293377323,0.000704640844328326,0.0007447346192556285,0.00046513094913864,0.0007839497515683674,0.010273224456774631,0.000656377436189639,0.013654945146425066,0.00475140965470504
1720387540.284,0.4122296944705992,0.0318488292783688,0.16851120091788363,0.11707244160648547,0.377520497652702,0.004564607167704313,0.00488795167667038,0.0018894733431175056,0.004367133317670879,0.08238608565581394,0.004034533262248502,0.06523194035846076,0.02465755671876716,53170186.208806425,7987158.211059378,231166.35445362717,672352.050292899,2240272.544233202,7135502.791801203,10151964.633576538,1114.0727846379807,79980592.04105973,11214200.260465115,444.1472538991199,252620.2527165257,1408763.717559208,37102507.96639896,48551.15101374539,32421.965105601466,4821095.585083584,1099628.173832475,2776.6023868562356,368.040829529526,1188.344303613846,814.2552499367475,7574589.91627907,444.1472538991199,40230.77195342088,69643.5447856803,0,75.97989204029012,0,0,0,0,0,0,0,0,0,0,74.96614078114133,0,0,0,0,0,0,0.15363638536139948,0.007664480869001025,0.0335781961879937,0.023356420523551,0.09697075715609653,0.0008262623333891174,0.0008268974523790765,0.0006212734573048035,0.0008248992134038299,0.013077651959361385,0.0006980179996666961,0.01517000929708063,0.005197126329827618
1720387545.284,0.4558830845682635,0.03625241175599997,0.2063707496126997,0.14391463756171088,0.43194880749507136,0.004425623215654767,0.0049369811967702685,0.0016186873284497346,0.004231116644235094,0.07992238744005067,0.0038435700195794684,0.07530368809977811,0.027199039575690767,52507513.75541046,7885130.128956622,267676.7520948007,5193579.286153401,2267866.347933929,7301574.969880618,7810911.772296574,1256.713831937626,79419400.26917902,10908829.246222062,7533030.35737159,50919.41594026996,1390968.6466559444,44179391.09383024,47943.72801875732,31736.35311853592,4881413.517520702,1122190.7723277675,2766.4561352268997,453.0472292887954,1256.713831937626,735.0381336922387,7368278.128676138,374.75525627184396,41729.81720548751,68763.82890290402,0,75.02930832356388,0,0,0,0,75.50787154813257,0,0,0,0,0,74.01919149935847,0,0,0,0,0,0,0.16719975922867858,0.00824515309278637,0.03386617774888872,0.023571823718932277,0.1246047918227976,0.0007889398464055234,0.0007503802072238732,0.0006212734573048035,0.0007483554597664855,0.011353575265559206,0.0007404707097425834,0.01624015083027559,0.005655966950701734
1720387550.284,0.47220509116876946,0.04055336184850336,0.23535209133751392,0.16563975191165276,0.5014792021560679,0.004445180874872839,0.00482408886990348,0.0018670305462994807,0.004334588922544361,0.07999972214666616,0.0035510745342744398,0.08082349265178213,0.030204479306538298,59826890.15435885,5259996.944899072,284473.58473902673,5326095.555185617,4355859.713590922,7397801.017293998,7699702.688455457,1237.198393802637,53197412.9525458,10793614.544933965,7489313.345946733,303880.8947245691,1392932.0472683182,44107694.2120008,48416.075650118204,32267.349642320936,4993797.014594085,3066521.6968386923,2348.5804124664755,446.7307727264465,1237.198393802637,812.3467474397808,7295134.175584265,298.0643283364867,40850.52646684246,68935.01511066071,0,148.97254046190216,0,0,0,0,74.45512878774109,0,0,0,0,0,74.12367216200076,0,0,0,0,0,0,0.18069136161673768,0.010057580337539954,0.049764704155290405,0.03459100593961744,0.1503960636882258,0.0009119205428375431,0.000753161264484027,0.0005102451170518337,0.0007510793675300151,0.010040301084238768,0.0007444342076602414,0.01955523822408365,0.006988361909411629
1720387555.284,0.5293395163171633,0.044967778377982076,0.27244712036076196,0.19132021232489582,0.560141085892622,0.004417386892911261,0.005000072112583748,0.0018853425439890954,0.003977792301683894,0.07921457860046925,0.0036883770621712574,0.08750909763613361,0.033241313741630994,58821081.522815235,5331844.494829398,534538.3716400468,9675607.374763917,4383238.067625847,2244.4245556996475,10280640.8389164,172021.11538047186,53594051.770176746,10807488.90441137,7414391.470355163,301249.2185279909,790637.5443602971,43370708.52308524,49077.40234843038,34192.219934331355,4856406.799172587,3091112.093646939,2319.2387075563024,447.4220798135742,1176.715624663339,595.229877749723,9124719.789371878,442.61940782364394,40811.59420289855,69682.80100976842,0,151.00739184132425,0,0,0,0,74.5703466355957,0,0,0,0,0,74.92774302125636,0,0,0,0,0,0,0.19138596447912493,0.010391591290255834,0.05043401224327242,0.035311772253823946,0.15314762496785914,0.0008744384079926685,0.0006776313486704616,0.0007476670950062053,0.0007135972326851403,0.008327017984329868,0.0007874019115566597,0.019817117985975345,0.007241452336481339
1720387560.284,0.5509317764996774,0.049726918731759225,0.305835340558052,0.2137632138119179,0.6183888941816076,0.004400321656518233,0.004905382779725042,0.0016096325530665552,0.004024078831956745,0.07926518774644743,0.0035952600510411577,0.09799516340853423,0.03639201754228625,51020269.762775026,5316797.8533752365,727160.2334247347,14339988.85996687,3361342.6573426574,2253.686450003668,10255435.410348147,174629.87131347746,26958796.57919743,11214860.79904769,7613209.157820764,311348.3047115808,775177.0551200875,43189785.13581308,52017.717005752515,32974.19672361668,4914573.711706135,3146965.034965035,2328.809331670457,446.32511850062656,1119.900842112938,673.6349682040786,9471142.920913624,454.4882938195806,42535.15338323793,68473.6058546035,0,150.5577916230174,0,0,0,0,74.38751975010443,0,0,0,0,0,73.46953417875912,0,0,0,0,0,0,0.2112503346315212,0.010489896550534695,0.06629993657941581,0.04664819925012288,0.18038537277295272,0.0009174499630205852,0.0006425578799074517,0.0007476670950062053,0.0005597918824568616,0.00966526555082961,0.0007119644853214097,0.01990368626920685,0.008895061169510738
1720387565.284,0.57933772811468,0.0533462774763796,0.34077117504712295,0.23813538995252073,0.6725849977776718,0.004302230707323589,0.00490968918090706,0.0017974675528703117,0.0037400407519556163,0.07692216869549413,0.003454432699296195,0.10501645836318363,0.03887901731446867,60025371.28941203,2736012.410889078,758829.2219072873,14125497.749968624,3431943.9023050587,1977.8592506483055,10176945.99466436,166052.13533000552,26588120.687790636,10956651.162790697,7302455.47854142,314248.6022142407,771109.1634321284,51864127.37302364,52121.006168507374,34304.98308494103,4840633.809634795,3205992.346985481,2051.113296968613,443.0023794073113,1064.891846921797,664.431707580837,9254623.255813953,435.659711758345,42996.85266782685,68282.54064786164,0,151.29464780408526,0,0,0,0,73.83372990121855,0,0,0,0,0,73.26452859212621,0,0,0,0,0,0,0.21840853300170934,0.012417192440493541,0.08222558253600382,0.05734674874126214,0.20652976567189543,0.0010387351367957404,0.0007263467080554639,0.000756012625986172,0.0006827541715227102,0.011019491405066997,0.0007957533134694217,0.023360605657606903,0.010398898382092958
