service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
carts_energy_Anomaly,2,1,0,1827,0.667,1.0,0.8,0.667
carts-db_energy_Anomaly,3,2,0,1825,0.6,1.0,0.75,0.6
catalogue_energy_Anomaly,1,0,0,1829,1.0,1.0,1.0,1.0
catalogue-db_energy_Anomaly,2,0,0,1828,1.0,1.0,1.0,1.0
front-end_energy_Anomaly,1,0,0,1829,1.0,1.0,1.0,1.0
orders_energy_Anomaly,32,27,0,1771,0.542,1.0,0.703,0.542
orders-db_energy_Anomaly,117,102,2,1609,0.534,0.983,0.692,0.529
payment_energy_Anomaly,2,1,0,1827,0.667,1.0,0.8,0.667
queue-master_energy_Anomaly,4,2,0,1824,0.667,1.0,0.8,0.667
rabbitmq_energy_Anomaly,91,85,21,1633,0.517,0.812,0.632,0.462
shipping_energy_Anomaly,34,24,0,1772,0.586,1.0,0.739,0.586
user_energy_Anomaly,2,1,0,1827,0.667,1.0,0.8,0.667
user-db_energy_Anomaly,1,0,0,1829,1.0,1.0,1.0,1.0
