__run_id,__done,scenario,service_stressed,user_load,repetition_id,front-end_avg_cpu,catalogue_avg_cpu,catalogue-db_avg_cpu,carts_avg_cpu,carts-db_avg_cpu,orders_avg_cpu,orders-db_avg_cpu,shipping_avg_cpu,queue-master_avg_cpu,rabbitmq_avg_cpu,payment_avg_cpu,user_avg_cpu,user-db_avg_cpu,front-end_avg_mem,catalogue_avg_mem,catalogue-db_avg_mem,carts_avg_mem,carts-db_avg_mem,orders_avg_mem,orders-db_avg_mem,shipping_avg_mem,queue-master_avg_mem,rabbitmq_avg_mem,payment_avg_mem,user_avg_mem,user-db_avg_mem,front-end_avg_mem_rss,catalogue_avg_mem_rss,catalogue-db_avg_mem_rss,carts_avg_mem_rss,carts-db_avg_mem_rss,orders_avg_mem_rss,orders-db_avg_mem_rss,shipping_avg_mem_rss,queue-master_avg_mem_rss,rabbitmq_avg_mem_rss,payment_avg_mem_rss,user_avg_mem_rss,user-db_avg_mem_rss,front-end_avg_mem_cache,catalogue_avg_mem_cache,catalogue-db_avg_mem_cache,carts_avg_mem_cache,carts-db_avg_mem_cache,orders_avg_mem_cache,orders-db_avg_mem_cache,shipping_avg_mem_cache,queue-master_avg_mem_cache,rabbitmq_avg_mem_cache,payment_avg_mem_cache,user_avg_mem_cache,user-db_avg_mem_cache,front-end_avg_disk,catalogue_avg_disk,catalogue-db_avg_disk,carts_avg_disk,carts-db_avg_disk,orders_avg_disk,orders-db_avg_disk,shipping_avg_disk,queue-master_avg_disk,rabbitmq_avg_disk,payment_avg_disk,user_avg_disk,user-db_avg_disk,front-end_avg_power,catalogue_avg_power,catalogue-db_avg_power,carts_avg_power,carts-db_avg_power,orders_avg_power,orders-db_avg_power,shipping_avg_power,queue-master_avg_power,rabbitmq_avg_power,payment_avg_power,user_avg_power,user-db_avg_power
run_56,DONE,scenario_A,orders,1000,27,0.619,0.362,0.24,0.236,0.041,2.577,0.005,0.005,0.004,0.07,0.002,0.071,0.032,8440013.359,1130970.898,20972014.21,42420731.484,3348152.909,206827993.149,4418190.599,23657623.993,47697972.012,11794850.616,369137.406,927917.108,2061384.639,8145957.015,7617.505,14959323.158,24321091.608,144065.796,26234295.883,308.239,6553899.877,9596052.357,8703483.483,20052.498,10305.062,121190.135,0.0,0.0,0.0,0.0,344812.528,67515068.009,341797.482,0.0,0.0,0.0,0.0,0.0,88.077,0.0, ,0.0, ,0.0,0.0,0.0, , ,0.0, , ,0.0,0.172886441,0.100842805,0.063255572,0.076083852,0.011657444,0.705684021,0.001384199,0.001421716,0.001516957,0.020545809,0.000753977,0.022928966,0.010651435
run_38,DONE,scenario_A,orders,1000,9,0.627,0.363,0.24,0.239,0.041,2.577,0.005,0.004,0.004,0.07,0.002,0.073,0.033,9340967.644,1085178.853,22082746.899,38057409.883,3903768.899,176546834.579,7176669.671,19579133.723,40606913.295,10899676.54,474437.365,731025.93,1660627.204,7691711.435,6470.931,18026277.57,25134993.197,136114.134,26047777.006,226.882,3577972.569,819.319,8773962.393,431.965,7868.325,9954.376,0.0,0.0,0.0,0.0,346969.439,61945768.098,373360.592,0.0,0.0,0.0,0.0,0.0,88.148,0.0, ,0.0, ,0.0,0.0,0.0, , ,0.0, , ,0.0,0.202225275,0.101068041,0.066667892,0.079101565,0.011541099,0.630691868,0.001372699,0.001602361,0.001060217,0.016895511,0.000647284,0.022303382,0.009736868
run_75,DONE,scenario_A,front-end,100,16,2.362,0.03,0.023,0.069,0.01,0.005,0.005,0.004,0.004,0.069,0.002,0.01,0.009,172308249.623,1003413.488,16560287.329,55565376.266,11981176.043,10688993.526,10740534.23,24539440.325,68697897.2,11655861.017,208474.798,767913.05,3207202.776,74507078.784,1864.856,1939347.728,34087966.513,2473.665,3830679.328,374.597,5028185.157,5112707.586,6063521.139,892.741,4723.306,2289.714,53400573.356,0.0,0.0,0.0,121.501,0.0,74.854,0.0,0.0,0.0,0.0,0.0,86.847,0.0, ,0.0, ,0.0, ,0.0, , ,0.0, , ,0.0,0.641382933,0.008129277,0.005745879,0.022840836,0.002955628,0.001878436,0.001607934,0.001445137,0.001206672,0.017301295,0.000673519,0.002803303,0.002500467
run_178,DONE,scenario_B,orders,1000,29,0.962,0.486,0.304,2.466,1.561,3.096,0.004,0.004,0.004,0.06,0.018,0.344,0.141,11159210.664,1254871.917,23593238.477,28491647.47,8723845.537,199291101.03,5955826.183,17111070.777,23850542.83,10173261.551,181195.068,1031481.825,2835464.672,9986374.792,14322.021,15678150.505,13501937.431,2313130.95,72354445.481,160.596,4813069.775,442757.237,7883522.716,2633.223,17476.986,2176036.188,0.0,0.0,0.0,0.0,368653.452,73358267.497,308759.408,0.0,0.0,0.0,0.0,0.0,374.775,0.0, ,0.0, ,0.0,0.0,0.0, , ,0.0, , ,0.0,0.284991022,0.159299845,0.100823783,0.904630384,0.519955011,1.085171037,0.001516277,0.00158234,0.001568461,0.017048919,0.006097066,0.10493132,0.045237078
run_77,DONE,scenario_A,front-end,100,18,2.384,0.03,0.024,0.07,0.011,0.005,0.006,0.005,0.004,0.075,0.002,0.011,0.009,192583601.248,917189.378,15317146.892,37666764.766,11195453.332,13870500.413,9316405.708,10707111.04,66324401.71,10026859.067,221320.968,856700.599,2703918.042,77290483.412,8235.313,653886.889,31227875.357,2182.092,4978431.472,448.439,4904883.714,881897.277,7529691.219,313.821,3475.506,2605.979,58859360.48,0.0,0.0,0.0,122.077,0.0,80.33,0.0,0.0,0.0,0.0,0.0,90.069,0.0, ,0.0, ,0.0, ,0.0, , ,0.0, , ,0.0,0.63865391,0.0077269,0.006438577,0.022186171,0.002932394,0.001653641,0.001476632,0.001512923,0.001479296,0.017747816,0.000747156,0.002899608,0.00256088
run_85,DONE,scenario_A,front-end,100,26,2.379,0.03,0.023,0.069,0.01,0.005,0.005,0.004,0.004,0.078,0.002,0.01,0.009,151803908.867,883470.829,17941025.664,49104783.807,10907078.317,20648989.632,11534954.55,16261831.323,63941712.66,10769338.168,378269.431,734194.938,2379633.412,76931987.646,4054.967,1959283.967,36658755.885,3116.778,5521387.402,379.1,3663202.396,9531712.297,8069800.778,3277.923,4756.886,2345.984,47765609.24,0.0,0.0,0.0,128.177,0.0,79.379,0.0,0.0,0.0,0.0,0.0,86.485,0.0, ,0.0, ,0.0, ,0.0, , ,0.0, , ,0.0,0.622469944,0.007657278,0.00708356,0.020595768,0.002540968,0.001484082,0.001660886,0.001435265,0.001515798,0.021158363,0.000644432,0.0032124,0.002293607
run_201,DONE,scenario_B,front-end,100,22,2.537,0.048,0.038,0.51,0.212,0.178,0.005,0.005,0.004,0.07,0.005,0.056,0.028,163584854.873,918381.625,17271711.505,41337775.915,12718964.508,41674771.055,9652110.523,23073810.131,79807180.078,10939377.338,315588.199,884985.501,2061014.953,97023745.232,5339.874,1972399.758,26611378.86,3026348.54,39824102.601,444.423,6374457.189,6952565.644,7270400.518,831.354,7516.975,108520.359,61706701.016,0.0,0.0,0.0,345433.424,0.0,80.664,0.0,0.0,0.0,0.0,0.0,93.844,0.0,0.0,0.0, ,0.0, ,0.0, , ,0.0, , ,0.0,0.637878902,0.012165583,0.010166975,0.146703915,0.057815643,0.062087728,0.001406495,0.001407701,0.001230321,0.015675351,0.001716425,0.015046759,0.007918549
run_87,DONE,scenario_A,front-end,100,28,2.392,0.03,0.023,0.071,0.01,0.005,0.005,0.004,0.004,0.067,0.002,0.01,0.01,152568287.003,932718.579,11655920.456,48725566.17,11959194.064,17052974.44,7533989.046,19815041.001,74283122.033,10498342.463,231413.784,1009178.13,2788373.779,76112639.684,4904.106,1656375.439,34044142.019,2486.259,5010540.938,321.496,3954621.428,5206301.217,6323606.249,1753.432,2736.937,1955.265,50559558.893,0.0,0.0,0.0,279716.613,0.0,79.246,0.0,0.0,0.0,0.0,0.0,86.468,0.0, ,0.0, ,0.0, ,0.0, , ,0.0, , ,0.0,0.608463378,0.007144431,0.00579499,0.022521299,0.002932548,0.001477217,0.001390067,0.001430206,0.001218757,0.016629239,0.000665415,0.00280476,0.0024085
run_220,DONE,scenario_B,front-end,1000,11,3.281,0.477,0.299,2.652,1.7,0.572,0.004,0.004,0.004,0.057,0.018,0.338,0.14,158974485.994,1381118.981,20036263.487,22646082.804,8541230.048,36196290.025,6145796.291,13028981.149,27434493.926,12627869.396,221307.985,889626.753,2040979.616,83287645.83,10802.434,16044091.158,9248530.82,2107478.763,26174017.451,520.361,4622814.425,5202116.645,9540496.501,1251.603,8633.442,1589183.141,53928719.126,0.0,0.0,0.0,238.952,0.0,344342.069,0.0,0.0,0.0,0.0,0.0,115.918,0.0, ,0.0, ,0.0, ,0.0, , ,0.0, , ,0.0,0.959260713,0.132099912,0.096859007,0.757469991,0.526133224,0.215639272,0.001452828,0.001622216,0.001401096,0.017225255,0.005707502,0.118298413,0.047241181
run_125,DONE,scenario_B,orders,100,6,0.254,0.047,0.038,0.515,0.206,2.749,0.005,0.004,0.004,0.067,0.005,0.057,0.028,6429457.689,922107.613,17839539.165,47490226.371,13553127.723,181486883.185,8378279.36,18021496.935,74491092.069,10472325.576,282479.32,1039425.918,2107212.154,5845968.754,5725.016,1307284.207,31181958.824,2897645.067,121062147.059,203.985,5898800.077,15183942.401,5989880.864,696.793,10576.78,112032.067,0.0,0.0,0.0,0.0,345385.876,57596594.702,343326.519,0.0,0.0,0.0,0.0,0.0,86.708,0.0, ,0.0, ,0.0,0.0,0.0, , ,0.0, , ,0.0,0.067617318,0.012411959,0.008895571,0.15906359,0.056446226,0.753504036,0.00135596,0.001514429,0.001510696,0.017570471,0.001819141,0.017803605,0.008211194
