Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,14060,0,410.0,432.92495231960527,4.867060109972954,1903.7407690193504,8649.0,45.55018908446108,0.0,410,480,530,570,680,750,840,910,1900,1900,1900
GET,/basket.html,13207,0,430.0,434.88891185863173,4.8677821177989244,971.3047398254275,23388.0,42.786724554657006,0.0,430,490,540,570,660,720,790,820,940,960,970
POST,/cart,80810,0,520.0,524.3244272236457,24.868609849363565,1044.557173969224,0.0,261.8001977180156,0.0,520,600,660,690,760,810,870,920,990,1000,1000
GET,/catalogue,13905,0,450.0,457.58585447012837,7.6930338982492685,1017.394341994077,2795.0,45.04803550636069,0.0,450,510,570,610,710,770,830,880,950,1000,1000
GET,/category.html,13918,0,450.0,449.7296345757567,5.40495291352272,955.5493770167232,11518.0,45.09015161291104,0.0,450,520,570,600,690,740,800,850,930,950,960
GET,/login,14047,0,450.0,466.1178549233601,60.3962610475719,1008.4168550092727,13.0,45.50807297791072,0.0,450,540,610,660,740,800,860,900,970,1000,1000
POST,/orders,13079,13079,530.0,544.6785749164278,28.7427029106766,1111.9112139567733,227.0,42.3720428901612,42.3720428901612,530,620,680,710,780,830,900,930,1000,1100,1100
,Aggregated,163026,13079,480.0,493.7533681887913,4.867060109972954,1903.7407690193504,3881.6740826616615,528.1554143444773,42.3720428901612,480,560,630,660,740,800,860,910,1000,1900,1900
