Method,Name,Error,Occurrences
POST,/api/v1/travelservice/trips/left,RemoteDisconnected('Remote end closed connection without response'),34
GET,/client_login.html,RemoteDisconnected('Remote end closed connection without response'),5
GET,/api/v1/adminorderservice/adminorder,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/v1/verifycode/generate,"ConnectionResetError(104, 'Connection reset by peer')",4
GET,/index.html,RemoteDisconnected('Remote end closed connection without response'),29
POST,/api/v1/users/login,RemoteDisconnected('Remote end closed connection without response'),11
GET,/api/v1/adminuserservice/users,RemoteDisconnected('Remote end closed connection without response'),3
GET,/index.html,"ConnectionResetError(104, 'Connection reset by peer')",9
POST,/api/v1/users/login,"ConnectionResetError(104, 'Connection reset by peer')",2
GET,/api/v1/adminuserservice/users,"ChunkedEncodingError(ProtocolError(""Connection broken: ConnectionResetError(104, 'Connection reset by peer')"", ConnectionResetError(104, 'Connection reset by peer')))",1
GET,/api/v1/verifycode/generate,RemoteDisconnected('Remote end closed connection without response'),45
POST,/api/v1/travel2service/trips/left,RemoteDisconnected('Remote end closed connection without response'),6
POST,/api/v1/travel2service/trips/left,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/adminlogin.html,RemoteDisconnected('Remote end closed connection without response'),6
POST,/api/v1/travelservice/trips/left,"ConnectionResetError(104, 'Connection reset by peer')",2
GET,/api/v1/adminorderservice/adminorder,RemoteDisconnected('Remote end closed connection without response'),5
