service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
carts_energy_Anomaly_low,4,3,0,1823,0.571,1.0,0.727,0.571
carts-db_energy_Anomaly_low,2,1,0,1827,0.667,1.0,0.8,0.667
catalogue_energy_Anomaly_low,6,5,0,1819,0.545,1.0,0.706,0.545
catalogue-db_energy_Anomaly_low,7,6,0,1817,0.538,1.0,0.7,0.538
front-end_energy_Anomaly_low,29,8,0,1793,0.784,1.0,0.879,0.784
orders_energy_Anomaly_low,0,0,0,1830,0.0,0.0,0.0,0.0
orders-db_energy_Anomaly_low,119,72,0,1639,0.623,1.0,0.768,0.623
payment_energy_Anomaly_low,7,6,0,1817,0.538,1.0,0.7,0.538
queue-master_energy_Anomaly_low,0,0,6,1824,0.0,0.0,0.0,0.0
rabbitmq_energy_Anomaly_low,112,35,5,1678,0.762,0.957,0.848,0.737
shipping_energy_Anomaly_low,24,0,0,1806,1.0,1.0,1.0,1.0
user_energy_Anomaly_low,6,5,0,1819,0.545,1.0,0.706,0.545
user-db_energy_Anomaly_low,6,5,0,1819,0.545,1.0,0.706,0.545
