service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
carts_energy_Anomaly,4,3,0,1823,0.571,1.0,0.727,0.571
carts-db_energy_Anomaly,2,1,0,1827,0.667,1.0,0.8,0.667
catalogue_energy_Anomaly,6,5,0,1819,0.545,1.0,0.706,0.545
catalogue-db_energy_Anomaly,7,6,0,1817,0.538,1.0,0.7,0.538
front-end_energy_Anomaly,29,29,0,1772,0.5,1.0,0.667,0.5
orders_energy_Anomaly,0,0,0,1830,0.0,0.0,0.0,0.0
orders-db_energy_Anomaly,119,88,0,1623,0.575,1.0,0.73,0.575
payment_energy_Anomaly,7,6,0,1817,0.538,1.0,0.7,0.538
queue-master_energy_Anomaly,6,0,0,1824,1.0,1.0,1.0,1.0
rabbitmq_energy_Anomaly,117,59,0,1654,0.665,1.0,0.799,0.665
shipping_energy_Anomaly,24,3,0,1803,0.889,1.0,0.941,0.889
user_energy_Anomaly,6,5,0,1819,0.545,1.0,0.706,0.545
user-db_energy_Anomaly,6,5,0,1819,0.545,1.0,0.706,0.545
