Model,Scenario,Service,Users,Mean Precision,Mean Recall,Mean F-Score,Mean Accuracy
BIRCH,scenario_A,front-end,100,0.381,0.148,0.181,0.147
BIRCH,scenario_A,front-end,1000,0.837,0.653,0.634,0.545
BIRCH,scenario_A,orders,100,0.344,0.166,0.191,0.163
BIRCH,scenario_A,orders,1000,0.877,0.671,0.669,0.586
BIRCH,scenario_B,front-end,100,0.643,0.67,0.556,0.434
BIRCH,scenario_B,front-end,1000,0.878,0.17,0.226,0.168
BIRCH,scenario_B,orders,100,0.477,0.266,0.276,0.225
BIRCH,scenario_B,orders,1000,0.889,0.18,0.239,0.176
iforest,scenario_A,front-end,100,0.28,0.385,0.319,0.28
iforest,scenario_A,front-end,1000,0.828,0.957,0.867,0.787
iforest,scenario_A,orders,100,0.298,0.385,0.332,0.298
iforest,scenario_A,orders,1000,0.895,0.953,0.906,0.852
iforest,scenario_B,front-end,100,0.583,0.923,0.706,0.583
iforest,scenario_B,front-end,1000,0.996,0.471,0.569,0.468
iforest,scenario_B,orders,100,0.391,0.538,0.445,0.391
iforest,scenario_B,orders,1000,0.96,0.496,0.574,0.456
knn,scenario_A,front-end,100,0.23,0.385,0.287,0.23
knn,scenario_A,front-end,1000,0.507,0.996,0.672,0.506
knn,scenario_A,orders,100,0.254,0.385,0.302,0.254
knn,scenario_A,orders,1000,0.726,0.985,0.824,0.722
knn,scenario_B,front-end,100,0.536,0.923,0.676,0.536
knn,scenario_B,front-end,1000,0.543,0.927,0.684,0.522
knn,scenario_B,orders,100,0.34,0.538,0.412,0.34
knn,scenario_B,orders,1000,0.593,0.884,0.706,0.556
lof,scenario_A,front-end,100,0.23,0.374,0.284,0.225
lof,scenario_A,front-end,1000,0.506,0.992,0.67,0.504
lof,scenario_A,orders,100,0.255,0.369,0.294,0.24
lof,scenario_A,orders,1000,0.725,0.971,0.82,0.716
lof,scenario_B,front-end,100,0.537,0.923,0.677,0.537
lof,scenario_B,front-end,1000,0.541,0.923,0.681,0.518
lof,scenario_B,orders,100,0.34,0.538,0.412,0.34
lof,scenario_B,orders,1000,0.593,0.886,0.707,0.557
svm,scenario_A,front-end,100,0.225,0.385,0.282,0.225
svm,scenario_A,front-end,1000,0.505,0.996,0.67,0.504
svm,scenario_A,orders,100,0.254,0.385,0.302,0.254
svm,scenario_A,orders,1000,0.727,0.984,0.824,0.722
svm,scenario_B,front-end,100,0.535,0.923,0.675,0.535
svm,scenario_B,front-end,1000,0.579,0.839,0.661,0.497
svm,scenario_B,orders,100,0.335,0.538,0.407,0.335
svm,scenario_B,orders,1000,0.628,0.775,0.666,0.514
