Algorithm,Level,Scenario,Service,Users,Metric,Value
BIRCH,high,scenario_A,front-end,100,Precision,0.0
BIRCH,high,scenario_A,front-end,100,Precision,0.0
BIRCH,high,scenario_A,front-end,100,Precision,0.0
BIRCH,high,scenario_A,front-end,100,Precision,0.0
BIRCH,high,scenario_A,front-end,100,Precision,0.952
BIRCH,high,scenario_A,front-end,100,Precision,0.0
BIRCH,high,scenario_A,front-end,100,Precision,1.0
BIRCH,high,scenario_A,front-end,100,Precision,0.0
BIRCH,high,scenario_A,front-end,100,Precision,1.0
BIRCH,high,scenario_A,front-end,100,Precision,1.0
BIRCH,high,scenario_A,front-end,100,Precision,1.0
BIRCH,high,scenario_A,front-end,100,Precision,0.0
BIRCH,high,scenario_A,front-end,100,Precision,0.0
BIRCH,high,scenario_A,front-end,100,Recall,0.0
BIRCH,high,scenario_A,front-end,100,Recall,0.0
BIRCH,high,scenario_A,front-end,100,Recall,0.0
BIRCH,high,scenario_A,front-end,100,Recall,0.0
BIRCH,high,scenario_A,front-end,100,Recall,0.667
BIRCH,high,scenario_A,front-end,100,Recall,0.0
BIRCH,high,scenario_A,front-end,100,Recall,0.049
BIRCH,high,scenario_A,front-end,100,Recall,0.0
BIRCH,high,scenario_A,front-end,100,Recall,0.875
BIRCH,high,scenario_A,front-end,100,Recall,0.063
BIRCH,high,scenario_A,front-end,100,Recall,0.273
BIRCH,high,scenario_A,front-end,100,Recall,0.0
BIRCH,high,scenario_A,front-end,100,Recall,0.0
BIRCH,high,scenario_A,front-end,100,F-Score,0.0
BIRCH,high,scenario_A,front-end,100,F-Score,0.0
BIRCH,high,scenario_A,front-end,100,F-Score,0.0
BIRCH,high,scenario_A,front-end,100,F-Score,0.0
BIRCH,high,scenario_A,front-end,100,F-Score,0.784
BIRCH,high,scenario_A,front-end,100,F-Score,0.0
BIRCH,high,scenario_A,front-end,100,F-Score,0.093
BIRCH,high,scenario_A,front-end,100,F-Score,0.0
BIRCH,high,scenario_A,front-end,100,F-Score,0.933
BIRCH,high,scenario_A,front-end,100,F-Score,0.119
BIRCH,high,scenario_A,front-end,100,F-Score,0.429
BIRCH,high,scenario_A,front-end,100,F-Score,0.0
BIRCH,high,scenario_A,front-end,100,F-Score,0.0
BIRCH,high,scenario_A,front-end,100,Accuracy,0.0
BIRCH,high,scenario_A,front-end,100,Accuracy,0.0
BIRCH,high,scenario_A,front-end,100,Accuracy,0.0
BIRCH,high,scenario_A,front-end,100,Accuracy,0.0
BIRCH,high,scenario_A,front-end,100,Accuracy,0.645
BIRCH,high,scenario_A,front-end,100,Accuracy,0.0
BIRCH,high,scenario_A,front-end,100,Accuracy,0.049
BIRCH,high,scenario_A,front-end,100,Accuracy,0.0
BIRCH,high,scenario_A,front-end,100,Accuracy,0.875
BIRCH,high,scenario_A,front-end,100,Accuracy,0.063
BIRCH,high,scenario_A,front-end,100,Accuracy,0.273
BIRCH,high,scenario_A,front-end,100,Accuracy,0.0
BIRCH,high,scenario_A,front-end,100,Accuracy,0.0
BIRCH,low,scenario_A,front-end,100,Precision,0.0
BIRCH,low,scenario_A,front-end,100,Precision,0.0
BIRCH,low,scenario_A,front-end,100,Precision,0.0
BIRCH,low,scenario_A,front-end,100,Precision,0.0
BIRCH,low,scenario_A,front-end,100,Precision,0.952
BIRCH,low,scenario_A,front-end,100,Precision,0.0
BIRCH,low,scenario_A,front-end,100,Precision,1.0
