Algorithm,Metric,Min,Max,Median,Mean,SD,CV
BIRCH,Precision,0.0,1.0,0.809,0.666,0.382,0.147
BIRCH,Recall,0.0,1.0,0.089,0.365,0.414,0.173
BIRCH,F-Score,0.0,1.0,0.162,0.372,0.37,0.138
BIRCH,Accuracy,0.0,1.0,0.088,0.306,0.345,0.12
iforest,Precision,0.0,1.0,0.787,0.654,0.387,0.151
iforest,Recall,0.0,1.0,1.0,0.638,0.438,0.194
iforest,F-Score,0.0,1.0,0.716,0.59,0.374,0.142
iforest,Accuracy,0.0,1.0,0.558,0.514,0.369,0.137
knn,Precision,0.0,1.0,0.532,0.466,0.276,0.077
knn,Recall,0.0,1.0,1.0,0.753,0.405,0.166
knn,F-Score,0.0,1.0,0.686,0.57,0.316,0.101
knn,Accuracy,0.0,1.0,0.522,0.458,0.274,0.076
lof,Precision,0.0,1.0,0.53,0.466,0.276,0.077
lof,Recall,0.0,1.0,0.99,0.747,0.402,0.164
lof,F-Score,0.0,1.0,0.675,0.568,0.314,0.099
lof,Accuracy,0.0,1.0,0.51,0.455,0.27,0.074
svm,Precision,0.0,1.0,0.522,0.473,0.283,0.081
svm,Recall,0.0,1.0,1.0,0.728,0.408,0.168
svm,F-Score,0.0,1.0,0.669,0.561,0.314,0.099
svm,Accuracy,0.0,1.0,0.502,0.448,0.274,0.076
