time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders-db_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1720383045.551,0.5842488816324277,0.04869210600889703,0.023238315025697332,0.017233497402550552,0.10242444276415995,0.005239068968008779,0.004932843363826031,0.0019779157646147437,0.004544116017553487,0.08955448928086837,0.004272176615769973,0.03657948191940807,0.016159243003511823,44174470.711566396,10347856.096275155,842015.3206390896,730469.187180678,2852543.0235783635,13734500.117415415,15115371.386793632,679672.9486807771,107568194.84366427,10797137.51243781,29482252.518740904,763088.1723550106,3787254.0458346913,21892917.73490519,40283.153665763784,26072.517691690377,720880.7803065489,616426.22283865,6787600.065030077,219.11945648103568,222.67323861988984,823.8434814408483,3642420.334690185,226.32751920137034,23249.93652751079,51902.5379240433,0,0,0,0,0,0,0,0,0,0,0,0,74.14648274863329,0,0,0,0,0,0,0.07824974818071118,0.004133782179257437,0.0023108530131325604,0.0015356682072528993,0.01961631548162561,0.0006787114305441181,0.0007136905600180828,0.00033768327706114825,0.0007332165816888001,0.011245798342226204,0.0008314417055812338,0.008488427238440342,0.002951251932473263
1720383050.551,1.0336764926189272,0.17169842033432908,0.08526215015198156,0.05262102741045517,0.2135621530135082,0.019374473084423117,0.004961652639478693,0.0020953691962608077,0.004409403433164238,0.08684252630541518,0.004368275847558397,0.05068344718188451,0.020727426906588867,43422759.54666859,7905516.545971218,700589.8760144679,720701.8413855971,3196223.6738209752,20397269.549349695,12933529.360082004,517968.0232024524,106973058.5347226,10689043.61538186,29286059.02263205,746718.9165826248,3149724.990093304,21535267.739839744,93867.44889540748,46288.3158481942,711143.2634457613,979896.9205369321,13425781.848757535,299.8974959730561,451.12616333498545,744.8220682632335,5404083.575242805,374.7004043397918,12097.392306584063,51644.511689902385,0,75.09395911632598,0,0,0,0,0,0,0,0,0,0,73.7778738427177,0,0,0,0,0,0,0.3281682345015219,0.047683150510342956,0.02116999723159142,0.014699205272942124,0.05670272524633884,0.0008247158398133124,0.0008350965286188019,0.00036826931457891756,0.0006873124286948079,0.010116087177549075,0.0009528476741819528,0.009865541440781295,0.0038158492469839416
1720383055.551,1.567214453901604,0.3794654460299395,0.12742443111465124,0.08803562971404065,0.3142880087808068,0.1463449229849318,0.004798614094622497,0.002764181643765532,0.004527401014041961,0.08319872195608782,0.0041662302190350305,0.07057322633058269,0.02648089741991088,50666464.444043964,7927213.244741383,744918.0698623601,728976.6747183449,3322921.691717187,27929184.111272603,12681972.026214203,516415.7286946353,79329649.50826156,8661505.207766285,29735360.469652776,755728.3559824628,3206616.76416115,28705659.68642998,113372.63683418377,46679.50598088237,719384.8763667878,1101616.38626825,20660183.90889187,220.6302181524374,3367.9286653997956,810.082885344936,3649832.553075667,456.57383840823377,13412.650766795829,52652.44897584948,0,75.18079365662054,0,0,0,0,0,0,0,0,0,0,75.11048356041296,0,0,0,0,0,0,0.6094272640205552,0.0973086943630074,0.03423687223491854,0.02234584374511575,0.061290063009914096,0.03445875064827714,0.000804658380751356,0.00054109768887252,0.0007172800295930429,0.010608537140355664,0.0008833100418943417,0.01818988941982731,0.007081664133377867
1720383060.551,2.076874464067833,0.549986710864168,0.17361315620327136,0.12090860457105289,0.404297234705397,0.3828726354976743,0.004924505439496892,0.0049159208222170495,0.004447004928668713,0.08105324404088304,0.004522305207004109,0.10253034072557934,0.04069805291782238,43814616.602512896,5295388.226717696,736783.7392164692,718167.0692943421,3402231.7484020176,28254398.511627905,10212464.363163223,343967.48375082813,79077994.40820129,8580255.860322252,28357235.786190275,753645.6382632587,2549112.3076086366,28941070.52073499,114735.77546929102,47493.152349377735,708644.0831895379,1138254.3295758746,20916119.21860465,222.06158739337866,7920.786406202438,807.5130833751523,3616878.8776921565,7002487.452148022,15622.284082281913,52053.00846612643,0,74.64917076726807,0,0,0,0,74.02052913112622,0,0,0,0,0,74.25536157792644,0,0,0,0,0,0,0.8252802635084535,0.10479493545799565,0.06167992829138287,0.04063149287245003,0.1128934156601673,0.11787172431745961,0.0008214253988461164,0.0009543038856832388,0.0007340470476878035,0.012147904679755817,0.0009449991524951248,0.022639197738780655,0.008756844752888765
1720383065.551,2.3219457137702393,0.6898929701261781,0.22155668462660316,0.15040323263319325,0.5058380591232245,0.5976714243661059,0.004756445106509757,0.007095939490306139,0.004332149145386205,0.07579247550687648,0.004189911591249287,0.14575786342262398,0.05768440722909277,51629886.43856692,5304810.209782549,596672.816597745,710336.2126245848,2357981.502088768,20662046.088275667,10522808.878295844,354417.0943904481,81704129.62722912,10580607.401105912,28856902.483452663,753515.6805690267,1981576.1406861572,36519640.706278846,116962.33408190467,50307.849998232785,700700.2963095986,1177160.0780779684,20385685.183847435,228.8097720840161,12822.831349423028,758.5044721394048,3569553.948674323,7125874.2943712,18687.07116427776,69171.13508149725,0,74.78410107538662,0,0,0,0,76.26992402800536,0,0,0,0,0,75.26782925081312,0,0,0,0,0,0,0.8668801322920208,0.1974125003052951,0.08893242252425773,0.040752205662442295,0.11940990672824736,0.22185639737975327,0.00087929230977783,0.001384306207937547,0.0007963901101385992,0.0147168084611139,0.0010299186428191559,0.032945721027770596,0.01280264302553321
1720383070.551,2.5360839102814805,0.837735787257995,0.2674348913440809,0.17847554464636511,0.5875418308061856,0.6878505413484737,0.00474337197341495,0.009061007837649621,0.0041862825469221885,0.07342392161602211,0.004239834664391732,0.1834049001007336,0.07281508030099626,43439159.82849249,5237207.151731216,611543.7673429673,721890.107491679,2405626.4506240417,27686950.96954416,10231729.223636793,353664.4178454842,79853281.06278619,13014611.224193081,29041795.331615057,533867.6186445357,2586300.00706564,28716016.146104302,120654.96317902736,52401.16760964359,709895.8549317038,1224749.1423983648,27317241.814652905,222.53209945851972,13148.204570184984,667.2096432643752,5484310.555394011,7171531.419029295,20727.60061093425,709340.4931816575,0,147.499954986586,0,0,0,0,74.17736648617324,0,0,0,0,0,72.35215148731717,0,0,0,0,0,0,1.0234241388909588,0.27733357452603397,0.11262538407506688,0.05623704404713886,0.1737708946034471,0.32461323132850267,0.0010008084527984283,0.001528160094936956,0.0007791860363805382,0.015252809769247498,0.0011924861134162846,0.03475112053700351,0.013523908254930347
1720383075.551,2.8119000903616667,0.9839209284624129,0.3098284401081953,0.2078556443784602,0.6900568834551966,0.7968069798804672,0.004613679654235796,0.010871426630875387,0.0041499471654384374,0.07275844769308466,0.003971087618765928,0.2269679684652322,0.08544754015928846,37145914.88892968,2657157.6667731744,660016.6066980349,5340582.944715715,2432218.517307762,20617251.32365346,7775093.23153722,351473.65197182336,53258679.60672835,12915011.146784028,29576409.035454176,792944.3517376479,2045499.2072026099,29389984.3583624,121569.78023928711,50519.789648491555,5040579.652895887,1257246.3041662124,20312754.814509034,225.51754514755544,13282.649035256814,593.3114849082909,3631744.309368349,7303490.997818774,22139.737357614453,733366.8191510689,0,145.4183974154152,0,0,0,0,75.17251504918515,0,0,0,0,0,74.65053126537754,0,0,0,0,0,0,1.1233902656258428,0.34576641096591015,0.13298380604276167,0.06951903882149679,0.2186082944559539,0.3614906414173287,0.0010486598749453778,0.002492270758391912,0.0008274858262126756,0.015769564157496464,0.001201194708261769,0.05289492673264443,0.02062424693492289
1720383080.551,3.0637116920403065,1.1399892138687104,0.35615006348569966,0.23701010407791073,0.7717914977444609,0.9452621379828007,0.004713758208844844,0.01251549804257179,0.003746310175084301,0.0688027080760095,0.003998044205495821,0.25375521241852317,0.10153429259531829,37572403.14320052,2863167.7876683767,566670.8782685082,9827929.946195789,2493855.109723625,28398103.343465045,5224353.793817482,536099.4919790966,53035367.53277196,10903607.381691942,28531690.508033313,783116.8516073787,2038913.3360002912,29603435.777017653,124159.46627023695,55120.647440330446,4976936.554363918,1316090.5701955743,27990674.475498553,302.9137701523443,13424.862069593404,443.138174146667,3678915.9875753704,7045567.003691222,22725.51468227067,731997.8179437758,0,148.51610797875233,0,0,0,0,75.72844253808607,0,0,0,0,0,74.48085245663164,0,0,0,0,0,0,1.1562494058498634,0.3689885955818212,0.14113676502104933,0.07437547797719041,0.22505831195471374,0.4105953344482741,0.0010803366896363796,0.0025731581624949124,0.0007999746062978323,0.01486624792745727,0.0011343164786694025,0.054458799635624014,0.021192434503350042
1720383085.551,3.292088423465935,1.3037629871455039,0.4054953100927119,0.26951117984388645,0.8642527595606952,0.9975264498612763,0.0044473499724922054,0.014006726152601278,0.0035832075485512467,0.06458586091208712,0.003444404077558641,0.28837499002538597,0.11497482549166636,37169954.53132145,5624008.051677128,804206.5755558441,9720431.336142255,3801140.0906841047,34508279.75354016,7767226.847606822,541819.6664030747,53837587.68509875,10687986.243462063,29567652.20605904,801104.2922440952,1442094.0792402434,29289452.802926384,885054.403718411,55218.94412817328,9145286.010140684,3555707.1373087415,34016001.1530285,300.45846323124886,13859.977564043618,449.8380099939597,5406135.989109408,7303010.295558308,24092.801340301932,746688.8262353465,0,149.90758870569292,0,0,0,0,75.11461580781221,0,0,0,0,0,75.97566404511055,0,0,0,0,0,0,1.2808933827782947,0.45481703329427686,0.16792183822875764,0.09141422574042726,0.2713097457467525,0.4469476188851199,0.0010797710356917573,0.0034765587914114336,0.0008979639966365786,0.0156381461663148,0.0011797633643108778,0.07133202446658006,0.028099477987944526
1720383090.551,3.5098931807542484,1.4589869423149466,0.45449126807062196,0.3019282972017817,0.9544965923031083,1.0651249220074055,0.004418987847981343,0.01588582783035778,0.0032572419864977603,0.06075063045694521,0.0033772927509634386,0.3265407102159854,0.13025300593240768,29354507.368383262,5504735.43467755,816414.4338325468,9702658.16199266,3844778.2700268724,34102780.31759595,7714103.483457222,361156.9513156951,54400849.93988717,8693169.051520117,22013237.511469997,837958.3532263394,795828.1238562331,21699734.702302955,869068.4279296211,55635.21498383441,9126710.615401063,3606199.433510059,33622026.06280709,298.4987611135403,13509.428550942856,454.563950799963,5494515.929364646,7250949.825656084,25422.307099048805,736611.3754483566,0,219.9430811362294,0,0,0,0,74.62469027838507,0,0,0,0,0,74.95790937705878,0,0,0,0,0,0,1.4029563427265759,0.5385412108897634,0.19032223294596673,0.10651861514212783,0.2733293174907064,0.4536923647961893,0.0011897669756684795,0.003618536551751206,0.0008758814000865424,0.01592313454537143,0.001196221053897926,0.0737785857049062,0.028823935368024915
1720383095.551,3.658498216645931,1.606597527389181,0.5046191360073681,0.3324062918074257,1.0385603590387773,1.134534293415542,0.004158492651251768,0.018320439908842297,0.0031470888704930103,0.05826665271767907,0.003497013909843594,0.36360148022745004,0.14209177740466195,22703437.93911007,8374824.845451869,1031862.7675216467,14701514.574570142,6025137.40030023,41311131.99475113,5190918.823464488,367407.8395624431,54105628.256070636,8721845.356119115,14710103.84544618,811524.713867928,732721.9791015452,15001030.44496487,861145.7168089491,46172.84757392583,9450709.172754778,5653918.648604656,40733520.23152559,150.69072714898,13815.132178669099,376.74760853568796,5513906.556389331,7269627.5252989875,21665.306711918263,681508.2611413773,0,226.08183691492493,0,0,0,0,75.34536357449,0,0,0,0,0,146.3249084576226,0,0,0,0,0,0,1.5240769208024847,0.5405054089040715,0.19717974425278206,0.10927165572529945,0.27429853878454014,0.48517034619813504,0.001277256980178431,0.004525356700111792,0.0009610907550945517,0.016164126505620782,0.0012459644796041498,0.07422225992191317,0.028906813825871625
