time,rabbitmq_cpu,redis_cpu,ts-account-mongo_cpu,ts-admin-basic-info-service_cpu,ts-admin-order-service_cpu,ts-admin-route-service_cpu,ts-admin-travel-service_cpu,ts-admin-user-service_cpu,ts-assurance-mongo_cpu,ts-assurance-service_cpu,ts-auth-mongo_cpu,ts-auth-service_cpu,ts-avatar-service_cpu,ts-basic-service_cpu,ts-cancel-service_cpu,ts-config-mongo_cpu,ts-config-service_cpu,ts-consign-mongo_cpu,ts-consign-price-mongo_cpu,ts-consign-price-service_cpu,ts-consign-service_cpu,ts-contacts-mongo_cpu,ts-contacts-service_cpu,ts-execute-service_cpu,ts-food-map-mongo_cpu,ts-food-map-service_cpu,ts-food-mongo_cpu,ts-food-service_cpu,ts-inside-payment-mongo_cpu,ts-inside-payment-service_cpu,ts-news-mongo_cpu,ts-news-service_cpu,ts-notification-service_cpu,ts-order-mongo_cpu,ts-order-other-mongo_cpu,ts-order-other-service_cpu,ts-order-service_cpu,ts-payment-mongo_cpu,ts-payment-service_cpu,ts-preserve-other-service_cpu,ts-preserve-service_cpu,ts-price-mongo_cpu,ts-price-service_cpu,ts-rebook-mongo_cpu,ts-rebook-service_cpu,ts-route-mongo_cpu,ts-route-plan-service_cpu,ts-route-service_cpu,ts-seat-service_cpu,ts-security-mongo_cpu,ts-security-service_cpu,ts-station-mongo_cpu,ts-station-service_cpu,ts-ticket-office-mongo_cpu,ts-ticket-office-service_cpu,ts-ticketinfo-service_cpu,ts-train-mongo_cpu,ts-train-service_cpu,ts-travel-mongo_cpu,ts-travel-plan-service_cpu,ts-travel-service_cpu,ts-travel2-mongo_cpu,ts-travel2-service_cpu,ts-ui-dashboard_cpu,ts-user-mongo_cpu,ts-user-service_cpu,ts-verification-code-service_cpu,ts-voucher-mysql_cpu,ts-voucher-service_cpu,rabbitmq_memory,redis_memory,ts-account-mongo_memory,ts-admin-basic-info-service_memory,ts-admin-order-service_memory,ts-admin-route-service_memory,ts-admin-travel-service_memory,ts-admin-user-service_memory,ts-assurance-mongo_memory,ts-assurance-service_memory,ts-auth-mongo_memory,ts-auth-service_memory,ts-avatar-service_memory,ts-basic-service_memory,ts-cancel-service_memory,ts-config-mongo_memory,ts-config-service_memory,ts-consign-mongo_memory,ts-consign-price-mongo_memory,ts-consign-price-service_memory,ts-consign-service_memory,ts-contacts-mongo_memory,ts-contacts-service_memory,ts-execute-service_memory,ts-food-map-mongo_memory,ts-food-map-service_memory,ts-food-mongo_memory,ts-food-service_memory,ts-inside-payment-mongo_memory,ts-inside-payment-service_memory,ts-news-mongo_memory,ts-news-service_memory,ts-notification-service_memory,ts-order-mongo_memory,ts-order-other-mongo_memory,ts-order-other-service_memory,ts-order-service_memory,ts-payment-mongo_memory,ts-payment-service_memory,ts-preserve-other-service_memory,ts-preserve-service_memory,ts-price-mongo_memory,ts-price-service_memory,ts-rebook-mongo_memory,ts-rebook-service_memory,ts-route-mongo_memory,ts-route-plan-service_memory,ts-route-service_memory,ts-seat-service_memory,ts-security-mongo_memory,ts-security-service_memory,ts-station-mongo_memory,ts-station-service_memory,ts-ticket-office-mongo_memory,ts-ticket-office-service_memory,ts-ticketinfo-service_memory,ts-train-mongo_memory,ts-train-service_memory,ts-travel-mongo_memory,ts-travel-plan-service_memory,ts-travel-service_memory,ts-travel2-mongo_memory,ts-travel2-service_memory,ts-ui-dashboard_memory,ts-user-mongo_memory,ts-user-service_memory,ts-verification-code-service_memory,ts-voucher-mysql_memory,ts-voucher-service_memory,rabbitmq_memory_rss,redis_memory_rss,ts-account-mongo_memory_rss,ts-admin-basic-info-service_memory_rss,ts-admin-order-service_memory_rss,ts-admin-route-service_memory_rss,ts-admin-travel-service_memory_rss,ts-admin-user-service_memory_rss,ts-assurance-mongo_memory_rss,ts-assurance-service_memory_rss,ts-auth-mongo_memory_rss,ts-auth-service_memory_rss,ts-avatar-service_memory_rss,ts-basic-service_memory_rss,ts-cancel-service_memory_rss,ts-config-mongo_memory_rss,ts-config-service_memory_rss,ts-consign-mongo_memory_rss,ts-consign-price-mongo_memory_rss,ts-consign-price-service_memory_rss,ts-consign-service_memory_rss,ts-contacts-mongo_memory_rss,ts-contacts-service_memory_rss,ts-execute-service_memory_rss,ts-food-map-mongo_memory_rss,ts-food-map-service_memory_rss,ts-food-mongo_memory_rss,ts-food-service_memory_rss,ts-inside-payment-mongo_memory_rss,ts-inside-payment-service_memory_rss,ts-news-mongo_memory_rss,ts-news-service_memory_rss,ts-notification-service_memory_rss,ts-order-mongo_memory_rss,ts-order-other-mongo_memory_rss,ts-order-other-service_memory_rss,ts-order-service_memory_rss,ts-payment-mongo_memory_rss,ts-payment-service_memory_rss,ts-preserve-other-service_memory_rss,ts-preserve-service_memory_rss,ts-price-mongo_memory_rss,ts-price-service_memory_rss,ts-rebook-mongo_memory_rss,ts-rebook-service_memory_rss,ts-route-mongo_memory_rss,ts-route-plan-service_memory_rss,ts-route-service_memory_rss,ts-seat-service_memory_rss,ts-security-mongo_memory_rss,ts-security-service_memory_rss,ts-station-mongo_memory_rss,ts-station-service_memory_rss,ts-ticket-office-mongo_memory_rss,ts-ticket-office-service_memory_rss,ts-ticketinfo-service_memory_rss,ts-train-mongo_memory_rss,ts-train-service_memory_rss,ts-travel-mongo_memory_rss,ts-travel-plan-service_memory_rss,ts-travel-service_memory_rss,ts-travel2-mongo_memory_rss,ts-travel2-service_memory_rss,ts-ui-dashboard_memory_rss,ts-user-mongo_memory_rss,ts-user-service_memory_rss,ts-verification-code-service_memory_rss,ts-voucher-mysql_memory_rss,ts-voucher-service_memory_rss,rabbitmq_memory_cache,redis_memory_cache,ts-account-mongo_memory_cache,ts-admin-basic-info-service_memory_cache,ts-admin-order-service_memory_cache,ts-admin-route-service_memory_cache,ts-admin-travel-service_memory_cache,ts-admin-user-service_memory_cache,ts-assurance-mongo_memory_cache,ts-assurance-service_memory_cache,ts-auth-mongo_memory_cache,ts-auth-service_memory_cache,ts-avatar-service_memory_cache,ts-basic-service_memory_cache,ts-cancel-service_memory_cache,ts-config-mongo_memory_cache,ts-config-service_memory_cache,ts-consign-mongo_memory_cache,ts-consign-price-mongo_memory_cache,ts-consign-price-service_memory_cache,ts-consign-service_memory_cache,ts-contacts-mongo_memory_cache,ts-contacts-service_memory_cache,ts-execute-service_memory_cache,ts-food-map-mongo_memory_cache,ts-food-map-service_memory_cache,ts-food-mongo_memory_cache,ts-food-service_memory_cache,ts-inside-payment-mongo_memory_cache,ts-inside-payment-service_memory_cache,ts-news-mongo_memory_cache,ts-news-service_memory_cache,ts-notification-service_memory_cache,ts-order-mongo_memory_cache,ts-order-other-mongo_memory_cache,ts-order-other-service_memory_cache,ts-order-service_memory_cache,ts-payment-mongo_memory_cache,ts-payment-service_memory_cache,ts-preserve-other-service_memory_cache,ts-preserve-service_memory_cache,ts-price-mongo_memory_cache,ts-price-service_memory_cache,ts-rebook-mongo_memory_cache,ts-rebook-service_memory_cache,ts-route-mongo_memory_cache,ts-route-plan-service_memory_cache,ts-route-service_memory_cache,ts-seat-service_memory_cache,ts-security-mongo_memory_cache,ts-security-service_memory_cache,ts-station-mongo_memory_cache,ts-station-service_memory_cache,ts-ticket-office-mongo_memory_cache,ts-ticket-office-service_memory_cache,ts-ticketinfo-service_memory_cache,ts-train-mongo_memory_cache,ts-train-service_memory_cache,ts-travel-mongo_memory_cache,ts-travel-plan-service_memory_cache,ts-travel-service_memory_cache,ts-travel2-mongo_memory_cache,ts-travel2-service_memory_cache,ts-ui-dashboard_memory_cache,ts-user-mongo_memory_cache,ts-user-service_memory_cache,ts-verification-code-service_memory_cache,ts-voucher-mysql_memory_cache,ts-voucher-service_memory_cache,rabbitmq_disk,ts-account-mongo_disk,ts-admin-order-service_disk,ts-assurance-mongo_disk,ts-auth-mongo_disk,ts-config-mongo_disk,ts-consign-mongo_disk,ts-consign-price-mongo_disk,ts-contacts-mongo_disk,ts-food-map-mongo_disk,ts-food-mongo_disk,ts-food-service_disk,ts-inside-payment-mongo_disk,ts-news-mongo_disk,ts-order-mongo_disk,ts-order-other-mongo_disk,ts-payment-mongo_disk,ts-price-mongo_disk,ts-rebook-mongo_disk,ts-route-mongo_disk,ts-security-mongo_disk,ts-station-mongo_disk,ts-ticket-office-mongo_disk,ts-train-mongo_disk,ts-travel-mongo_disk,ts-travel-service_disk,ts-travel2-mongo_disk,ts-user-mongo_disk,ts-verification-code-service_disk,ts-voucher-mysql_disk,rabbitmq_power,redis_power,ts-account-mongo_power,ts-admin-basic-info-service_power,ts-admin-order-service_power,ts-admin-route-service_power,ts-admin-travel-service_power,ts-admin-user-service_power,ts-assurance-mongo_power,ts-assurance-service_power,ts-auth-mongo_power,ts-auth-service_power,ts-avatar-service_power,ts-basic-service_power,ts-cancel-service_power,ts-config-mongo_power,ts-config-service_power,ts-consign-mongo_power,ts-consign-price-mongo_power,ts-consign-price-service_power,ts-consign-service_power,ts-contacts-mongo_power,ts-contacts-service_power,ts-execute-service_power,ts-food-map-mongo_power,ts-food-map-service_power,ts-food-mongo_power,ts-food-service_power,ts-inside-payment-mongo_power,ts-inside-payment-service_power,ts-news-mongo_power,ts-news-service_power,ts-notification-service_power,ts-order-mongo_power,ts-order-other-mongo_power,ts-order-other-service_power,ts-order-service_power,ts-payment-mongo_power,ts-payment-service_power,ts-preserve-other-service_power,ts-preserve-service_power,ts-price-mongo_power,ts-price-service_power,ts-rebook-mongo_power,ts-rebook-service_power,ts-route-mongo_power,ts-route-plan-service_power,ts-route-service_power,ts-seat-service_power,ts-security-mongo_power,ts-security-service_power,ts-station-mongo_power,ts-station-service_power,ts-ticket-office-mongo_power,ts-ticket-office-service_power,ts-ticketinfo-service_power,ts-train-mongo_power,ts-train-service_power,ts-travel-mongo_power,ts-travel-plan-service_power,ts-travel-service_power,ts-travel2-mongo_power,ts-travel2-service_power,ts-ui-dashboard_power,ts-user-mongo_power,ts-user-service_power,ts-verification-code-service_power,ts-voucher-mysql_power,ts-voucher-service_power
1724200722.408,0.01313842133076672,0.006737622072038185,0.0070962600515564545,0.001346632408620942,0.1193002435514777,0.0012831640728966749,0.0016188750208175355,0.186417593458801,0.00730104506974861,0.0025591848324772667,0.00815638202029018,0.4281199485788174,0.000322645712300808,0.1234411945859756,0.0013187975125347616,0.006794022359796066,0.0026033435871361,0.007301700100003702,0.007041933503630948,0.0024761772918479815,0.0018836452958958378,0.007139362813216057,0.002254258654227135,0.0013380389361270653,0.007500938077011829,0.0021029099466015125,0.006343276139599905,0.0026024176967056655,0.006559711077378884,0.0020288726096436126,0.006524267397418332,5.404186278704871e-07,0.004698564657459067,0.007701526497215113,0.007418439249294859,0.07652432677023772,0.06357283238523137,0.006941816273433602,0.002567363673087186,0.0016331107667626689,0.0017706582569219007,0.007167830018567448,0.0017215102860554882,0.006583058434953959,0.0013475284572445735,0.007677927762585569,0.001241786147679685,0.1731505479933689,0.0013194924097645361,0.006588892773353845,0.0025612984615937927,0.007382717902499444,0.12529116306655927,0.007019947670335324,0,0.051691648555784155,0.007682163041958878,0.0017499010226375703,0.007195497334194796,0.001253606521499251,0.31161786713579165,0.007417329304467986,0.0025464015780214096,0.001918232534819727,0.008057650196280802,0.19564947124465104,0.09884304143805944,0.0023080702725934077,0,11363190.35339411,216814.51465702915,3131861.3554061046,447.35692442114464,7681094.258972659,454.2362856720391,227.3829129734831,502796.0965588083,2435604.107622658,2545.5409530424613,3183139.7602469316,375505.63721992297,2489538.4004189465,417576.51504141843,72.5687862090959,3221236.999271667,743.7941491583288,3258640.3940886697,1608270.5257799432,742.6747896721787,1595.2226405296637,2450439.7959937914,442.6353517524585,453.2895586255234,2430647.526051155,1556.9915829486831,3171542.471634468,520.4102005626645,2433823.588580625,1903.2776923901774,3156108.7473858804,0,22541000.201225646,2419448.2483354197,3214117.306718739,15865058.438522676,246362.54936773074,1579758.500249483,1203.3565303611758,224.01283406861853,367.49268782859906,3155950.01071199,1259.8744323219164,4793258.015267176,607.6813233685069,2454126.9660652997,7179145.988085608,451662.10627948924,295.38816572314573,4054527.0250476054,6509049.135545092,2467129.457020269,372275.0237973201,2424927.451267771,0,335663.6777892106,3235723.4655600456,4211.28389667138,3161433.1130559035,451.9807260823187,7543816.713942832,2443261.169967756,1091.8202335045225,11048.332048882528,2461797.2317956467,331587.4280655157,329776.49436904414,0,0,1989162.6775142557,0,1388.3011934281178,447.35692442114464,7581252.560984598,454.2362856720391,227.3829129734831,496409.71457920596,1356.840516765431,2545.5409530424613,6541.956787021751,363814.4712430427,0,404703.9674465921,72.5687862090959,149.16241806263653,743.7941491583288,1517.0932256750248,1042.542360555596,742.6747896721787,1595.2226405296637,908.2711212949961,442.6353517524585,377.74129885460286,895.4310282008306,1482.8491266177934,221.6570160722983,520.4102005626645,449.45957314508314,1903.2776923901774,1329.198817336122,0,7439262.123845238,4161.468822003302,5110.0021696680415,149878.8074945158,245175.25997318747,218.9749803977475,1203.3565303611758,224.01283406861853,367.49268782859906,0,1259.8744323219164,1712.2500908760453,531.7211579474435,6915.998311523848,376.5536515407811,435544.64139325597,369.23520715393215,149.99267613886042,736.1345746019194,7878.088474626423,361552.90327304683,150.08060970247692,0,297882.69880934875,11950.347027164164,2932.8584280389964,2048.365779603501,376.65060506859896,6882301.840133828,452.8051589129432,1091.8202335045225,6613.967485045323,8530.345196188651,325845.65441935963,317209.35604966787,0,0,548354.9195510842,0,73.06848386463778,0,0,0,0,0,75.38002870919061,0,220.5153973153399,0,0,0,0,74.58120903131827,0,0,74.46731146825685,0,0,75.68926010791634,0,0,74.61925235006922,0,0,0,74.90992885751386,0,0,0,0,74.31194325005896,74.05800245895712,0,0,72.9916601325825,0,0,0,0,0,0,0,75.17389469047662,0,0,0,74.99633806943021,0,75.75085071756176,0,0,0,0,74.22575793269667,0,0,0,250321.64852716558,75.46752648549054,0,0,150.9795609944894,0,1182.7894888824717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009441722596947509,0.0011587680037718699,0.0012248743894529982,0.0002143546688137819,0.05772152371836043,0.0003556123106600039,0.0004067894939511952,0.08863104921523632,0.0009673458816643499,0.000485877078637354,0.0017525919754677358,0.158894125990927,0.000046461682305942934,0.03123973741519808,0.00021337769794652067,0.000929409293512748,0.0006406189997975797,0.001423408474280063,0.0012011299405856309,0.000323722448661564,0.00026805742743646907,0.0013520785887762943,0.0004466886482577278,0.000420257372385297,0.0017092806991529548,0.0004896956237700109,0.001163513497332597,0.0005100625442855879,0.0011933767660354728,0.00039096098340108906,0.0013401877369206752,0,0.001061176937661367,0.0012865260914682488,0.0014809947826260295,0.03857155538020175,0.03108962182588041,0.0008241050060405111,0.00041130193746504633,0.0004341902553865327,0.00036883359830675115,0.0013463642084571238,0.0004038337768133602,0.0012355115601242268,0.0003197805238534947,0.0011535705405946851,0.000253693889839126,0.00034937038957001524,0.0003089546406096577,0.001274110752804032,0.0005374009985751629,0.0009813662577223662,0.02195156526524902,0.0015085434890220566,0,0.021425398855226548,0.0015614108425378236,0.0004402017764056202,0.0010356332961312727,0.00032264020495993505,0.018898247634901163,0.0012895150233867723,0.0004782139095309488,0.0010688651797692093,0.0016234191285837663,0.07183370178591104,0.04950435572407924,0.0004795455501883312,0
1724200727.408,0.012863881471340556,0.006449446772769837,0.007187602786265183,0.0013195261392125067,0.1557609078568415,0.0012196818476149505,0.0012168624655935778,0.23061219980881273,0.006915607936975406,0.002645921498406358,0.009035007590459148,0.6171607688421901,0.0003322633902684683,0.3155055342530609,0.0012810272554675131,0.007327961317843528,0.08844301833652493,0.0071390168562847,0.006656792835547361,0.0023121553748205984,0.0018804202932699988,0.00690756522988506,0.0021529630545508004,0.00129881993869615,0.006842207253226686,0.0020571215750022622,0.006416479549527495,0.0021063579319329745,0.0064063063678212705,0.0018755554144815304,0.00636519613511054,5.369245212831892e-07,0.0045660823366556556,0.008427792255100758,0.0072839444654927855,0.10127085691344438,0.15487899076170306,0.006630668612531855,0.0019468807757386513,0.0015973085406982054,0.0017432421468151565,0.007330482203436452,0.12307335993119949,0.006203609564766326,0.0013250564915226984,0.00858682072153681,0.0012255353134710183,0.2899087005973672,0.07388936653874564,0.0064551223216953914,0.002651406457303513,0.010441102899630116,0.3474549202212396,0.006808023480130079,0,0.23225552632712387,0.00811545170670976,0.169492812501152,0.007882903006916991,0.0012250565437218618,0.7694529682434131,0.006944765320737313,0.0023735636538256945,0.004780369709595211,0.008278205546972705,0.23384516845513095,0.11575055580649866,0.002322678029452454,0,11271415.210577512,212129.43781698693,3157047.8759756843,453.030526471022,7664305.54179737,73.6743650622347,0,7670866.872283246,2436203.2101310557,3447.1940694051495,3239864.867332591,397909.4197655911,5145051.111235514,820564.7042143692,0,2430833.6177164637,25528.778408064456,3204550.5415491033,1577427.025482598,753.689323961285,1781.8056587700062,2381609.195402299,453.5321473388942,459.33014354066984,2422306.344301036,1553.6169059875374,3159956.450656654,146.19956097299803,2391602.9184487658,1808.8876621584322,2343745.4811484036,0,22742779.180509415,2395109.3006980456,4086070.1206633733,16043436.531278757,488480.82962097425,1602171.0795033528,228.4821777207564,224.0087503418102,379.5474341629756,2455136.3761392185,542018.5462159737,4776997.91768519,585.4251156807746,3275793.51952029,7136892.560774995,547437.2948855046,630233.3207214024,3978975.6342988573,6653224.4987963755,2410177.508843122,495402.8675246567,2429424.902166125,0,766539.0330569614,3260360.953876492,820015.4098541961,3250421.547294703,446.96639022261024,19592516.15685993,2411900.980374325,1019.8840394123713,18746.16770209168,2457509.600529684,401613.91000691144,385697.216960513,0,0,1973036.2791367942,0,1399.6618826660913,453.030526471022,7578197.347421716,73.6743650622347,0,7581992.027848422,75.39390369606832,3447.1940694051495,7330.180237760451,387907.9727969903,0,798279.3747563179,0,10111.744418224722,8024620.009394081,1491.2168926913625,1024.0182860408222,753.689323961285,1781.8056587700062,882.7586206896553,453.5321473388942,382.7751196172249,148.9183784766406,1479.6351485595594,1471.7665870178403,146.19956097299803,441.6489954354312,1808.8876621584322,1315.561265456881,0,7505855.740125508,5218.583451468767,5190.618744145899,271460.4211400011,466120.7916453663,222.08165404565256,228.4821777207564,224.0087503418102,379.5474341629756,11717.235435424422,521036.19503440027,1705.8322921759284,512.2469762206778,6910.164487557992,374.3374154633522,533088.6832110329,597467.0918689079,73.60023000071875,978.4817802605705,7575.2428491911005,480079.61766337906,150.508001249334,0,741693.4065539644,12041.33951721871,802197.1945217599,8013.896761688822,372.47199185217517,17847214.693936236,447.00703905127415,1019.8840394123713,11443.443737823032,9265.94570734937,395877.6326797862,371970.2753897713,0,0,543929.6753971971,0,73.6664148771627,0,0,0,0,0,75.39390369606832,0,299.19103011267146,0,0,0,0,74.3510618987112,0,0,73.14416328863015,0,0,73.56321839080461,0,0,0,0,0,0,73.6081659059052,0,0,0,0,73.50117537279954,75.22635861081012,0,0,74.02721801521751,0,0,0,0,0,0,0,75.11048356041296,0,0,0,73.60023000071875,0,0,0,0,0,0,74.79092867837709,0,0,0,436175.0102440603,0,0,0,225.998675789009,0,1193.6470931079705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11431188.958385115,0,0,0,0,0.0011210316041751875,0.0012882029118863058,0.0014291062134327293,0.00021358619885169605,0.08949232615916809,0.0004548703035555915,0.00037175170227678775,0.12673015203707674,0.0010527016915829759,0.0006566885002469467,0.0018528142189794168,0.31319280843108455,0.00017830131220814937,0.14684828341566653,0.00034846334710670436,0.0009944416672107192,0.0006563587842270904,0.001509532736634024,0.0014705327794599628,0.00045803962785966176,0.0004388688490460619,0.0014382028511302552,0.0004816459507450511,0.00038562967479891853,0.0017028614881451215,0.0006247812729301945,0.0013286742177034282,0.00046186962744145085,0.001304296636175273,0.00042591828588841235,0.0014052201106186462,0,0.0009655595844512294,0.0015512792076274205,0.0018388273230315155,0.04845948725775835,0.060142031651199565,0.000945955040843881,0.0003988347930703184,0.0003999868111802217,0.0005039192474669348,0.0016280954883813314,0.08556713842595881,0.0011646897748929421,0.00044217063927583044,0.0027163436354110835,0.00034984848808763546,0.1928673682909761,0.03708966185878045,0.001339143126502003,0.0006533604289694733,0.002905045613564648,0.1894379275519358,0.0015261514053219259,0,0.106898147739604,0.00208143004977559,0.09917508955194657,0.0016474275172847985,0.0003218717349978491,0.17564326346714385,0.001682304843999346,0.0004774454395688629,0.0017139153046207532,0.0018237696307125003,0.13428292448436263,0.061502747866331295,0.0004678468757556892,0
1724200732.408,0.01282762198512421,0.006210212076745661,0.006625204831072665,0.0012383956361013788,0.1760676050411116,0.0011922870660734852,0.0011824846224529136,0.25970385590334394,0.006699693824625857,0.056201631881300465,0.009413815357618363,0.783214734410062,0.0003236370367062192,0.36536388630104377,0.0012732649970249445,0.007595622272644763,0.12614341565790413,0.006628694115970936,0.006751657576166629,0.0018127054900886027,0.0016971300691761707,0.007162010953242999,0.10814374825583521,0.0012777825716265177,0.006949313855004529,0.002244308286747805,0.006226184967007429,0.05077829390051609,0.00642929133109144,0.0018397717395151328,0.006063671743119269,5.682921799126287e-07,0.0038938950571173483,0.009071090651610172,0.0072227127357786,0.11414096286438533,0.24060162935021123,0.006564707218934911,0.0019661517966089027,0.0012349136890698496,0.0012262410800561738,0.007318343359175016,0.1455330848287715,0.006040369825324163,0.001288598627206306,0.009982201561493672,0.0012193268549581498,0.33076390120986077,0.16501356625772365,0.006017022997716692,0.0026153924340848074,0.01167038318623708,0.3793324034655248,0.006526382440959076,0,0.27758901827780086,0.01041487227608616,0.2654469320574856,0.009094377932397845,0.0012213049958900337,1.2138105038687943,0.006789108935760861,0.002436704092533218,0.007568108469214758,0.008911838875670893,0.31455392515841446,0.13052054693334791,0.00223052115428808,0,11296166.377816292,291631.2056737589,2343654.526683043,369.3084482914074,7525412.803849054,74.67911318553092,0,7720046.661594753,2384409.4584616493,234104.24632722884,3196917.664023072,428934.7857661583,4966820.579334198,8056588.258865959,369.2684949784533,2430833.6177164637,176693.36007449322,3135097.307308734,812498.0556166995,74.83328765871929,1545.521516485491,2431819.7743522227,7513497.607480733,436.5264036661397,2372623.9457376734,2693.8507070042747,3277929.846796138,75522.93577981651,3251411.2598569593,1739.5859139975228,2410026.275229358,0,14966851.312696995,2454677.1375498865,4063661.975949414,16264449.90041644,679905.8413884405,1613939.5903504777,298.3845999745033,0,0,2446426.0952241644,561232.7708883919,4806764.398287328,584.2039579247638,3231831.5210508225,7317866.296830781,575668.1524606568,701752.2342616639,3928059.637912673,968.902960496388,2460332.8689786643,8313385.346192601,2383832.1254732283,0,813749.8237304069,2458559.496358113,8522699.722720599,3348810.1616801242,448.917709379852,40053712.04324164,2359939.28813197,1056.1756363502413,100828.11170704642,1652028.403327247,7968367.816091955,407607.8474233565,0,0,1977307.9145002887,0,0,369.3084482914074,7440922.049477576,74.67911318553092,0,7635538.745788501,885.1909881679182,232006.00084158147,7899.639509733238,421052.1423384169,0,7942663.339465584,369.2684949784533,10111.744418224722,8110071.198338227,1458.8972788146461,1051.8746789933227,74.83328765871929,1545.521516485491,5018.231023826504,7438690.287467583,363.77200305511644,2400.0426143930117,2619.0215206986004,1297.7969955641704,69798.16513761468,450.6876948468733,1739.5859139975228,1352.8073394495414,0,298.50419953723105,5273.205451234988,5165.101063635368,8271502.299474922,657249.7415716073,223.72325898953116,298.3845999745033,0,0,12357.200321802091,540491.23066403,1716.4616926300446,511.1784631841683,6743.789690796259,383.8296755814607,558901.1188938415,655095.9075848482,145.40291089811856,968.902960496388,7808.1970818975005,8208066.791420757,147.68343248602847,0,788572.3790067434,12068.66512938765,8408086.84463292,9745.620772992112,374.09809114987667,35253032.02399023,510.77778173655895,1056.1756363502413,11893.323469576475,9972.002434570906,7882279.988211024,392909.19358070573,0,0,545127.6718659734,0,72.91110399088612,0,0,0,0,0,73.76591568065986,0,442.97043979812554,0,0,0,0,74.3510618987112,0,72.9448639407323,75.1339056423802,0,0,74.89897050487319,0,0,0,0,0,0,75.11461580781221,0,0,0,0,75.3315064462141,74.85653715413576,0,0,74.57441966317705,0,0,0,74.89212316243692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.96065297756304,0,76.73717144088278,0,2287353.8035318945,0,0,0,1133.182094837603,0,1193.7992968650383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25020356.810696237,0,0,0,0,0.001334626640569646,0.0015013459573499023,0.0015478523560630854,0.0003345858489102087,0.10515156836158547,0.00044142888608552375,0.00045461100682558567,0.15015537273295557,0.0011667813961488951,0.0006372833550646495,0.0018077078039935612,0.44304757028009245,0.00013585411912226948,0.21618936151542087,0.000479199082492684,0.0016350250588440438,0.08556319221158624,0.0016236124411999433,0.0015431552677368527,0.0005404469449130102,0.00043841686509093136,0.0018146579943783944,0.040606755957028326,0.000385177690843788,0.0019467729844136676,0.0007508506085350148,0.0016730049442248572,0.0005921533788723,0.0015542304598634622,0.00042546630193328176,0.0014392990094442702,0,0.0010009944421179762,0.0017838482321881895,0.002136637581097205,0.05703160146103186,0.11806598538852998,0.0010660019865188727,0.0005291185445011675,0.00043496968135151904,0.000407714398297122,0.002009217069693908,0.10126419587782011,0.001329956393059676,0.00040775821213858245,0.004109724146762632,0.00048058422347361504,0.2322064781144652,0.07783884439670896,0.0015044097446687368,0.0007040235755830198,0.004721143301136493,0.24150814439760204,0.001513709828611172,0,0.1590956776765611,0.0033040866710374135,0.18434365065453737,0.0024047472660768975,0.00043967154746324296,0.484530799917434,0.00175317455933284,0.0007179591712987636,0.0021642889665318445,0.0026090879343720836,0.1703093932217496,0.07130567881747807,0.0005985826111416688,0
