Method,Name,Error,Occurrences
POST,/api/v1/travelservice/trips/left,RemoteDisconnected('Remote end closed connection without response'),4126
GET,/api/v1/contactservice/contacts/account/37b96f71-14ac-414b-83d4-9970402fac5a,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/1bb3c6ac-666e-4c41-a7af-2e8ba8c16bbc,RemoteDisconnected('Remote end closed connection without response'),1
GET,/api/v1/contactservice/contacts/account/556bfce7-0284-42a8-b466-c90686961ac2,RemoteDisconnected('Remote end closed connection without response'),6
GET,/api/v1/contactservice/contacts/account/285db5e6-b187-475c-94f0-9ea0755ff783,RemoteDisconnected('Remote end closed connection without response'),17
GET,/api/v1/contactservice/contacts/account/79645e43-b3b9-40c9-b138-4c7822298d8a,RemoteDisconnected('Remote end closed connection without response'),7
GET,/api/v1/contactservice/contacts/account/7724602e-ab9b-4fbf-93ab-a998d644a27a,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/d98d8d88-45b6-40a8-902a-7f2ba4d49d08,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/v1/contactservice/contacts/account/7898c75c-351c-4647-97a3-d3d947c9595b,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/25fa69c2-5f21-477a-b93e-5d5ed9f08597,RemoteDisconnected('Remote end closed connection without response'),10
GET,/api/v1/contactservice/contacts/account/1ae4db3d-6e93-47d2-aeab-dee64655dcf2,RemoteDisconnected('Remote end closed connection without response'),2
GET,/api/v1/contactservice/contacts/account/e1496791-fac6-440e-9250-fb386e2c1b38,RemoteDisconnected('Remote end closed connection without response'),7
GET,/api/v1/contactservice/contacts/account/e528c23e-616f-4c47-bb16-a4d31518f26c,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/4838ed9f-2fbb-40bc-91ff-a393286ee1e2,RemoteDisconnected('Remote end closed connection without response'),4
GET,/api/v1/contactservice/contacts/account/d2f33362-1ca2-45a4-bcd1-a736e389329d,RemoteDisconnected('Remote end closed connection without response'),8
GET,/api/v1/contactservice/contacts/account/133d7e77-4a50-4f80-87e1-424599d35fd2,RemoteDisconnected('Remote end closed connection without response'),7
GET,/api/v1/contactservice/contacts/account/ca198b64-ec40-4441-98b8-643651055357,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/b9ccf3e5-676a-4fd8-b848-942dc123e75d,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/84837fd3-cc8a-4734-a018-33fb26b26d4d,RemoteDisconnected('Remote end closed connection without response'),7
GET,/api/v1/contactservice/contacts/account/1f37ff41-a9ea-4bc2-83b0-18e52228c52d,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/v1/contactservice/contacts/account/cf73ff98-cf55-4cfa-a63a-33f5d5bb57c0,RemoteDisconnected('Remote end closed connection without response'),11
GET,/api/v1/contactservice/contacts/account/abb222d1-f8ce-4b15-8ba5-a0ddafc60956,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/4f04a0ee-4573-4e51-ac9a-6ca5fc9f9c5a,RemoteDisconnected('Remote end closed connection without response'),1
GET,/api/v1/contactservice/contacts/account/a978eb46-bc13-41dc-8f29-bf0f53fb3b70,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/admin_user.html,"ConnectionResetError(104, 'Connection reset by peer')",1
