service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly,24,25,0,1751,0.49,1.0,0.658,0.986
redis_energy_Anomaly,43,42,0,1715,0.506,1.0,0.672,0.977
ts-account-mongo_energy_Anomaly,80,81,0,1639,0.497,1.0,0.664,0.955
ts-admin-basic-info-service_energy_Anomaly,102,103,0,1595,0.498,1.0,0.665,0.943
ts-admin-order-service_energy_Anomaly,27,27,0,1746,0.5,1.0,0.667,0.985
ts-admin-route-service_energy_Anomaly,80,81,0,1639,0.497,1.0,0.664,0.955
ts-admin-travel-service_energy_Anomaly,88,89,0,1623,0.497,1.0,0.664,0.951
ts-admin-user-service_energy_Anomaly,21,21,0,1758,0.5,1.0,0.667,0.988
ts-assurance-mongo_energy_Anomaly,28,29,0,1743,0.491,1.0,0.659,0.984
ts-assurance-service_energy_Anomaly,24,24,0,1752,0.5,1.0,0.667,0.987
ts-auth-mongo_energy_Anomaly,0,1,0,1799,0.0,0.0,0.0,0.999
ts-auth-service_energy_Anomaly,0,1,0,1799,0.0,0.0,0.0,0.999
ts-avatar-service_energy_Anomaly,16,17,0,1767,0.485,1.0,0.653,0.991
ts-basic-service_energy_Anomaly,13,14,0,1773,0.481,1.0,0.65,0.992
ts-cancel-service_energy_Anomaly,10,11,0,1779,0.476,1.0,0.645,0.994
ts-config-mongo_energy_Anomaly,0,1,0,1799,0.0,0.0,0.0,0.999
ts-config-service_energy_Anomaly,4,5,0,1791,0.444,1.0,0.615,0.997
ts-consign-mongo_energy_Anomaly,64,65,0,1671,0.496,1.0,0.663,0.964
ts-consign-price-mongo_energy_Anomaly,74,75,0,1651,0.497,1.0,0.664,0.958
ts-consign-price-service_energy_Anomaly,42,43,0,1715,0.494,1.0,0.661,0.976
ts-consign-service_energy_Anomaly,39,40,0,1721,0.494,1.0,0.661,0.978
ts-contacts-mongo_energy_Anomaly,0,1,0,1799,0.0,0.0,0.0,0.999
ts-contacts-service_energy_Anomaly,27,27,0,1746,0.5,1.0,0.667,0.985
ts-execute-service_energy_Anomaly,15,16,0,1769,0.484,1.0,0.652,0.991
ts-food-map-mongo_energy_Anomaly,6,7,0,1787,0.462,1.0,0.632,0.996
ts-food-map-service_energy_Anomaly,28,29,0,1743,0.491,1.0,0.659,0.984
ts-food-mongo_energy_Anomaly,29,30,0,1741,0.492,1.0,0.66,0.983
ts-food-service_energy_Anomaly,26,26,0,1748,0.5,1.0,0.667,0.986
ts-inside-payment-mongo_energy_Anomaly,76,77,0,1647,0.497,1.0,0.664,0.957
ts-inside-payment-service_energy_Anomaly,49,50,0,1701,0.495,1.0,0.662,0.972
ts-news-mongo_energy_Anomaly,65,66,0,1669,0.496,1.0,0.663,0.963
ts-news-service_energy_Anomaly,1,2,0,1797,0.333,1.0,0.5,0.999
ts-notification-service_energy_Anomaly,20,21,0,1759,0.488,1.0,0.656,0.988
ts-order-mongo_energy_Anomaly,22,23,0,1755,0.489,1.0,0.657,0.987
ts-order-other-mongo_energy_Anomaly,0,1,0,1799,0.0,0.0,0.0,0.999
ts-order-other-service_energy_Anomaly,6,7,0,1787,0.462,1.0,0.632,0.996
ts-order-service_energy_Anomaly,21,21,0,1758,0.5,1.0,0.667,0.988
ts-payment-mongo_energy_Anomaly,51,52,0,1697,0.495,1.0,0.662,0.971
ts-payment-service_energy_Anomaly,24,25,0,1751,0.49,1.0,0.658,0.986
ts-preserve-other-service_energy_Anomaly,27,28,0,1745,0.491,1.0,0.659,0.984
ts-preserve-service_energy_Anomaly,21,22,0,1757,0.488,1.0,0.656,0.988
ts-price-mongo_energy_Anomaly,6,7,0,1787,0.462,1.0,0.632,0.996
ts-price-service_energy_Anomaly,15,15,0,1770,0.5,1.0,0.667,0.992
ts-rebook-mongo_energy_Anomaly,79,79,0,1642,0.5,1.0,0.667,0.956
ts-rebook-service_energy_Anomaly,89,89,0,1622,0.5,1.0,0.667,0.951
ts-route-mongo_energy_Anomaly,0,1,0,1799,0.0,0.0,0.0,0.999
ts-route-plan-service_energy_Anomaly,93,94,0,1613,0.497,1.0,0.664,0.948
ts-route-service_energy_Anomaly,7,8,0,1785,0.467,1.0,0.637,0.996
ts-seat-service_energy_Anomaly,18,18,0,1764,0.5,1.0,0.667,0.99
ts-security-mongo_energy_Anomaly,19,20,0,1761,0.487,1.0,0.655,0.989
ts-security-service_energy_Anomaly,25,26,0,1749,0.49,1.0,0.658,0.986
ts-station-mongo_energy_Anomaly,0,1,0,1799,0.0,0.0,0.0,0.999
ts-station-service_energy_Anomaly,17,18,0,1765,0.486,1.0,0.654,0.99
ts-ticket-office-mongo_energy_Anomaly,71,72,0,1657,0.497,1.0,0.664,0.96
ts-ticket-office-service_energy_Anomaly,0,1,0,1799,0.0,0.0,0.0,0.999
ts-ticketinfo-service_energy_Anomaly,7,8,0,1785,0.467,1.0,0.637,0.996
ts-train-mongo_energy_Anomaly,0,1,0,1799,0.0,0.0,0.0,0.999
ts-train-service_energy_Anomaly,22,23,0,1755,0.489,1.0,0.657,0.987
ts-travel-mongo_energy_Anomaly,11,12,0,1777,0.478,1.0,0.647,0.993
ts-travel-plan-service_energy_Anomaly,74,75,0,1651,0.497,1.0,0.664,0.958
ts-travel-service_energy_Anomaly,14,15,0,1771,0.483,1.0,0.651,0.992
ts-travel2-mongo_energy_Anomaly,0,1,0,1799,0.0,0.0,0.0,0.999
ts-travel2-service_energy_Anomaly,0,1,0,1799,0.0,0.0,0.0,0.999
ts-ui-dashboard_energy_Anomaly,0,1,0,1799,0.0,0.0,0.0,0.999
ts-user-mongo_energy_Anomaly,4,5,0,1791,0.444,1.0,0.615,0.997
ts-user-service_energy_Anomaly,14,14,0,1772,0.5,1.0,0.667,0.992
ts-verification-code-service_energy_Anomaly,0,1,0,1799,0.0,0.0,0.0,0.999
ts-voucher-mysql_energy_Anomaly,34,35,0,1731,0.493,1.0,0.66,0.981
ts-voucher-service_energy_Anomaly,0,1,0,1799,0.0,0.0,0.0,0.999
