Algorithm,Level,Scenario,Service,Users,Metric,Value
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.111
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.136
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.394
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.414
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.333
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.095
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.333
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.101
BIRCH,high,scenario_A,ts-order-service,100,Recall,1.0
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.5
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.375
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.368
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.107
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.265
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.533
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.462
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.476
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.148
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.152
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.2
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.107
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.286
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.25
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.667
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.556
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.117
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.261
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.375
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.769
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.5
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.238
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.571
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.062
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.455
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.471
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.379
BIRCH,high,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.343
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.318
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.126
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.236
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.889
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.261
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.215
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.571
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.533
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.593
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.333
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.445
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.473
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.198
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.235
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.52
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.534
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.5
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.171
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.444
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.179
BIRCH,high,scenario_A,ts-order-service,100,F-Score,1.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.572
