Algorithm,Metric,Min,Max,Median,Mean,SD,CV
BIRCH,Precision,0.0,1.0,0.846,0.681,0.389,0.152
BIRCH,Recall,0.0,1.0,0.167,0.228,0.219,0.048
BIRCH,F-Score,0.0,1.0,0.283,0.316,0.256,0.066
BIRCH,Accuracy,0.92,1.0,0.992,0.984,0.019,0.0
iforest,Precision,0.0,1.0,0.966,0.725,0.398,0.159
iforest,Recall,0.0,1.0,0.722,0.612,0.398,0.159
iforest,F-Score,0.0,1.0,0.8,0.634,0.372,0.139
iforest,Accuracy,0.959,1.0,0.997,0.994,0.008,0.0
knn,Precision,0.0,0.509,0.489,0.382,0.2,0.04
knn,Recall,0.0,1.0,1.0,0.788,0.409,0.167
knn,F-Score,0.0,0.675,0.657,0.514,0.268,0.072
knn,Accuracy,0.915,0.999,0.988,0.981,0.02,0.0
lof,Precision,0.0,0.509,0.489,0.382,0.2,0.04
lof,Recall,0.0,1.0,1.0,0.788,0.409,0.167
lof,F-Score,0.0,0.675,0.657,0.514,0.268,0.072
lof,Accuracy,0.915,0.999,0.988,0.981,0.02,0.0
svm,Precision,0.0,0.509,0.489,0.382,0.2,0.04
svm,Recall,0.0,1.0,1.0,0.788,0.409,0.167
svm,F-Score,0.0,0.675,0.657,0.514,0.268,0.072
svm,Accuracy,0.915,0.999,0.988,0.981,0.02,0.0
