Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin_user.html,992,0,330.0,588.5789648943295,1.4001280069351196,2508.2587748765945,27664.0,3.210156963456157,0.0,330,670,940,1100,1800,2100,2100,2200,2500,2500,2500
GET,/adminlogin.html,4055,2,1900.0,2554.3378067601348,2.628619782626629,13621.26483861357,2283.872996300863,13.122163797192256,0.0064720906521293494,1900,2100,2600,3300,6700,11000,12000,13000,14000,14000,14000
GET,/api/v1/adminorderservice/adminorder,4009,0,1400.0,1329.796791265991,20.482837222516537,3238.0893267691135,1671.0,12.97330571219328,0.0,1400,2000,2100,2100,2200,2400,2500,2500,2700,3200,3200
GET,/api/v1/adminuserservice/users,4971,0,1100.0,1185.1210714304932,9.17306449264288,3584.5379950478673,114176.99818949909,16.0863813158675,0.0,1100,1800,2000,2100,2200,2200,2400,2500,2900,3600,3600
POST,/api/v1/adminuserservice/users,992,0,460.0,731.7092648027615,122.09380604326725,3276.5227714553475,210.1733870967742,3.210156963456157,0.0,460,780,1100,1200,1900,2200,2400,2500,3300,3300,3300
POST,/api/v1/travel2service/trips/left,20539,0,1700.0,1393.2133171379282,22.214174270629883,3632.305081002414,43.7007157115731,66.46513495204235,0.0,1700,2000,2100,2100,2200,2300,2500,2500,3200,3400,3600
POST,/api/v1/travelservice/trips/left,20720,0,1700.0,1393.7463717424116,16.972091048955917,3557.751739397645,43.23334942084942,67.05085915606006,0.0,1700,2000,2100,2100,2200,2300,2500,2500,3000,3400,3600
POST,/api/v1/users/login,7922,0,1600.0,1455.1421846373619,111.45152617245913,3487.1559059247375,339.0358495329462,25.635951073084353,0.0,1600,2100,2200,2200,2300,2500,2600,2600,3000,3500,3500
GET,/api/v1/verifycode/generate,24810,0,1600.0,1377.9309632306179,3.94488126039505,3591.873988509178,1249.3781539701733,80.28628453966458,0.0,1600,2000,2100,2100,2200,2300,2500,2500,3300,3400,3600
GET,/client_login.html,3959,0,1500.0,1336.8276793843295,1.554585061967373,3381.0553532093763,12241.0,12.811503445890047,0.0,1500,2000,2100,2100,2200,2300,2500,2500,3300,3400,3400
GET,/index.html,21039,19,1600.0,1396.6876936768267,1.4460161328315735,4154.399720020592,18111.628879699605,68.08315761507468,0.06148486119522882,1600,2000,2100,2100,2200,2400,3100,3400,3500,3600,4200
,Aggregated,114008,21,1600.0,1410.2090012116385,1.4001280069351196,13621.26483861357,9439.461607957337,368.9350555339814,0.06795695184735817,1600,2000,2100,2100,2200,2400,2600,3300,12000,13000,14000
