service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly,21,22,0,1755,0.488,1.0,0.656,0.988
redis_energy_Anomaly,31,31,0,1736,0.5,1.0,0.667,0.983
ts-account-mongo_energy_Anomaly,66,67,0,1665,0.496,1.0,0.663,0.963
ts-admin-basic-info-service_energy_Anomaly,96,96,0,1606,0.5,1.0,0.667,0.947
ts-admin-order-service_energy_Anomaly,3,4,0,1791,0.429,1.0,0.6,0.998
ts-admin-route-service_energy_Anomaly,97,96,0,1605,0.503,1.0,0.669,0.947
ts-admin-travel-service_energy_Anomaly,100,100,0,1598,0.5,1.0,0.667,0.944
ts-admin-user-service_energy_Anomaly,9,10,0,1779,0.474,1.0,0.643,0.994
ts-assurance-mongo_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-assurance-service_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-auth-mongo_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-auth-service_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-avatar-service_energy_Anomaly,22,23,0,1753,0.489,1.0,0.657,0.987
ts-basic-service_energy_Anomaly,11,12,0,1775,0.478,1.0,0.647,0.993
ts-cancel-service_energy_Anomaly,5,6,0,1787,0.455,1.0,0.625,0.997
ts-config-mongo_energy_Anomaly,16,17,0,1765,0.485,1.0,0.653,0.991
ts-config-service_energy_Anomaly,21,22,0,1755,0.488,1.0,0.656,0.988
ts-consign-mongo_energy_Anomaly,71,72,0,1655,0.497,1.0,0.664,0.96
ts-consign-price-mongo_energy_Anomaly,47,48,0,1703,0.495,1.0,0.662,0.973
ts-consign-price-service_energy_Anomaly,28,29,0,1741,0.491,1.0,0.659,0.984
ts-consign-service_energy_Anomaly,20,21,0,1757,0.488,1.0,0.656,0.988
ts-contacts-mongo_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-contacts-service_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-execute-service_energy_Anomaly,6,7,0,1785,0.462,1.0,0.632,0.996
ts-food-map-mongo_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-food-map-service_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-food-mongo_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-food-service_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-inside-payment-mongo_energy_Anomaly,72,73,0,1653,0.497,1.0,0.664,0.959
ts-inside-payment-service_energy_Anomaly,38,39,0,1721,0.494,1.0,0.661,0.978
ts-news-mongo_energy_Anomaly,57,57,0,1684,0.5,1.0,0.667,0.968
ts-news-service_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-notification-service_energy_Anomaly,18,19,0,1761,0.486,1.0,0.654,0.989
ts-order-mongo_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-order-other-mongo_energy_Anomaly,7,8,0,1783,0.467,1.0,0.637,0.996
ts-order-other-service_energy_Anomaly,14,15,0,1769,0.483,1.0,0.651,0.992
ts-order-service_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-payment-mongo_energy_Anomaly,63,64,0,1671,0.496,1.0,0.663,0.964
ts-payment-service_energy_Anomaly,27,28,0,1743,0.491,1.0,0.659,0.984
ts-preserve-other-service_energy_Anomaly,9,10,0,1779,0.474,1.0,0.643,0.994
ts-preserve-service_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-price-mongo_energy_Anomaly,13,14,0,1771,0.481,1.0,0.65,0.992
ts-price-service_energy_Anomaly,14,15,0,1769,0.483,1.0,0.651,0.992
ts-rebook-mongo_energy_Anomaly,66,67,0,1665,0.496,1.0,0.663,0.963
ts-rebook-service_energy_Anomaly,103,104,0,1591,0.498,1.0,0.665,0.942
ts-route-mongo_energy_Anomaly,5,6,0,1787,0.455,1.0,0.625,0.997
ts-route-plan-service_energy_Anomaly,92,92,0,1614,0.5,1.0,0.667,0.949
ts-route-service_energy_Anomaly,19,20,0,1759,0.487,1.0,0.655,0.989
ts-seat-service_energy_Anomaly,13,14,0,1771,0.481,1.0,0.65,0.992
ts-security-mongo_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-security-service_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-station-mongo_energy_Anomaly,6,7,0,1785,0.462,1.0,0.632,0.996
ts-station-service_energy_Anomaly,10,11,0,1777,0.476,1.0,0.645,0.994
ts-ticket-office-mongo_energy_Anomaly,71,71,0,1656,0.5,1.0,0.667,0.961
ts-ticket-office-service_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-ticketinfo-service_energy_Anomaly,14,15,0,1769,0.483,1.0,0.651,0.992
ts-train-mongo_energy_Anomaly,5,6,0,1787,0.455,1.0,0.625,0.997
ts-train-service_energy_Anomaly,13,14,0,1771,0.481,1.0,0.65,0.992
ts-travel-mongo_energy_Anomaly,5,6,0,1787,0.455,1.0,0.625,0.997
ts-travel-plan-service_energy_Anomaly,78,79,0,1641,0.497,1.0,0.664,0.956
ts-travel-service_energy_Anomaly,54,55,0,1689,0.495,1.0,0.662,0.969
ts-travel2-mongo_energy_Anomaly,11,12,0,1775,0.478,1.0,0.647,0.993
ts-travel2-service_energy_Anomaly,18,19,0,1761,0.486,1.0,0.654,0.989
ts-ui-dashboard_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-user-mongo_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-user-service_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
ts-verification-code-service_energy_Anomaly,10,11,0,1777,0.476,1.0,0.645,0.994
ts-voucher-mysql_energy_Anomaly,28,29,0,1741,0.491,1.0,0.659,0.984
ts-voucher-service_energy_Anomaly,0,1,0,1797,0.0,0.0,0.0,0.999
