Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1918,0,4,6.141394004929807,1.8097017891705036,64.20222204178572,8649.0,6.205180050096808,0.0,4,5,6,6,9,17,29,46,63,64,64
GET,/basket.html,1832,0,4,4.709839789724531,1.963786780834198,27.362994151189923,23388.0,5.926949870582561,0.0,4,5,5,6,7,9,11,12,19,27,27
POST,/cart,11107,0,24,25.102778766705057,13.761298032477498,85.99139098078012,0.0,35.933751207729536,0.0,24,26,27,28,31,35,43,49,75,83,86
GET,/catalogue,1902,0,8,8.557481878656468,4.4018959160894156,37.30218904092908,2795.0,6.153416295768576,0.0,8,8,9,10,12,14,20,27,37,37,37
GET,/category.html,1902,0,5,5.604873952058219,1.9216800574213266,39.94368412531912,11518.0,6.153416295768576,0.0,5,6,7,7,9,11,15,20,33,40,40
GET,/login,1918,0,56,58.3973263641159,49.40408002585173,122.42313590832055,13.0,6.205180050096808,0.0,56,58,59,60,63,75,90,94,110,120,120
POST,/orders,1818,1818,69,66.53083668270213,19.927327055484056,117.34789586625993,227.0,5.881656585545358,5.881656585545358,69,71,73,74,77,81,88,94,110,120,120
,Aggregated,22397,1818,22,24.96406294608965,1.8097017891705036,122.42313590832055,3888.759387417958,72.45955035558822,5.881656585545358,22,26,29,32,59,69,74,79,99,110,120
