Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1938,0,4,6.182279948734316,1.8880381248891354,59.50071010738611,8649.0,6.269529064541,0.0,4,5,6,7,9,20,29,48,59,60,60
GET,/basket.html,1846,0,4,4.849061633627721,2.013192977756262,50.02949107438326,23388.0,5.971904361786731,0.0,4,5,6,6,8,9,11,13,40,50,50
POST,/cart,11176,0,24,25.21344624424244,14.223037054762244,99.30141386575997,0.0,36.154931282409805,0.0,24,26,27,28,31,35,42,49,77,98,99
GET,/catalogue,1928,0,8,8.45622823716632,4.536499036476016,43.15840499475598,2795.0,6.237178553372057,0.0,8,8,9,9,11,15,21,26,42,43,43
GET,/category.html,1928,0,5,5.523930483447442,1.9230470061302185,27.065570931881666,11518.0,6.237178553372057,0.0,5,6,6,7,9,11,15,19,26,27,27
GET,/login,1938,0,56,58.123439943977274,48.64056804217398,101.13408998586237,13.0,6.269529064541,0.0,56,58,59,60,63,72,89,95,100,100,100
POST,/orders,1838,1838,69,66.32686843191121,20.53751004859805,114.74155797623098,227.0,5.9460239528515775,5.9460239528515775,69,71,72,74,77,81,89,95,110,110,110
,Aggregated,22592,1838,22,24.97449797913427,1.8880381248891354,114.74155797623098,3894.0285941926345,73.08627483287422,5.9460239528515775,22,26,29,33,58,68,74,79,98,110,110
