service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly,36,37,0,1726,0.493,1.0,0.66,0.979
redis_energy_Anomaly,35,35,0,1729,0.5,1.0,0.667,0.981
ts-account-mongo_energy_Anomaly,78,78,0,1643,0.5,1.0,0.667,0.957
ts-admin-basic-info-service_energy_Anomaly,139,140,0,1520,0.498,1.0,0.665,0.922
ts-admin-order-service_energy_Anomaly,33,34,0,1732,0.493,1.0,0.66,0.981
ts-admin-route-service_energy_Anomaly,145,145,0,1509,0.5,1.0,0.667,0.919
ts-admin-travel-service_energy_Anomaly,139,138,0,1522,0.502,1.0,0.668,0.923
ts-admin-user-service_energy_Anomaly,22,23,0,1754,0.489,1.0,0.657,0.987
ts-assurance-mongo_energy_Anomaly,16,17,0,1766,0.485,1.0,0.653,0.991
ts-assurance-service_energy_Anomaly,26,27,0,1746,0.491,1.0,0.659,0.985
ts-auth-mongo_energy_Anomaly,61,62,0,1676,0.496,1.0,0.663,0.966
ts-auth-service_energy_Anomaly,45,46,0,1708,0.495,1.0,0.662,0.974
ts-avatar-service_energy_Anomaly,18,19,0,1762,0.486,1.0,0.654,0.989
ts-basic-service_energy_Anomaly,10,11,0,1778,0.476,1.0,0.645,0.994
ts-cancel-service_energy_Anomaly,18,19,0,1762,0.486,1.0,0.654,0.989
ts-config-mongo_energy_Anomaly,0,1,0,1798,0.0,0.0,0.0,0.999
ts-config-service_energy_Anomaly,10,11,0,1778,0.476,1.0,0.645,0.994
ts-consign-mongo_energy_Anomaly,89,90,0,1620,0.497,1.0,0.664,0.95
ts-consign-price-mongo_energy_Anomaly,76,76,0,1647,0.5,1.0,0.667,0.958
ts-consign-price-service_energy_Anomaly,62,63,0,1674,0.496,1.0,0.663,0.965
ts-consign-service_energy_Anomaly,53,54,0,1692,0.495,1.0,0.662,0.97
ts-contacts-mongo_energy_Anomaly,64,65,0,1670,0.496,1.0,0.663,0.964
ts-contacts-service_energy_Anomaly,33,34,0,1732,0.493,1.0,0.66,0.981
ts-execute-service_energy_Anomaly,22,23,0,1754,0.489,1.0,0.657,0.987
ts-food-map-mongo_energy_Anomaly,75,76,0,1648,0.497,1.0,0.664,0.958
ts-food-map-service_energy_Anomaly,32,33,0,1734,0.492,1.0,0.66,0.982
ts-food-mongo_energy_Anomaly,12,13,0,1774,0.48,1.0,0.649,0.993
ts-food-service_energy_Anomaly,31,32,0,1736,0.492,1.0,0.66,0.982
ts-inside-payment-mongo_energy_Anomaly,79,79,0,1641,0.5,1.0,0.667,0.956
ts-inside-payment-service_energy_Anomaly,52,53,0,1694,0.495,1.0,0.662,0.971
ts-news-mongo_energy_Anomaly,89,89,0,1621,0.5,1.0,0.667,0.951
ts-news-service_energy_Anomaly,0,1,0,1798,0.0,0.0,0.0,0.999
ts-notification-service_energy_Anomaly,33,34,0,1732,0.493,1.0,0.66,0.981
ts-order-mongo_energy_Anomaly,11,12,0,1776,0.478,1.0,0.647,0.993
ts-order-other-mongo_energy_Anomaly,1,2,0,1796,0.333,1.0,0.5,0.999
ts-order-other-service_energy_Anomaly,5,6,0,1788,0.455,1.0,0.625,0.997
ts-order-service_energy_Anomaly,29,30,0,1740,0.492,1.0,0.66,0.983
ts-payment-mongo_energy_Anomaly,75,76,0,1648,0.497,1.0,0.664,0.958
ts-payment-service_energy_Anomaly,64,65,0,1670,0.496,1.0,0.663,0.964
ts-preserve-other-service_energy_Anomaly,41,42,0,1716,0.494,1.0,0.661,0.977
ts-preserve-service_energy_Anomaly,31,32,0,1736,0.492,1.0,0.66,0.982
ts-price-mongo_energy_Anomaly,18,19,0,1762,0.486,1.0,0.654,0.989
ts-price-service_energy_Anomaly,14,15,0,1770,0.483,1.0,0.651,0.992
ts-rebook-mongo_energy_Anomaly,76,76,0,1647,0.5,1.0,0.667,0.958
ts-rebook-service_energy_Anomaly,136,137,0,1526,0.498,1.0,0.665,0.924
ts-route-mongo_energy_Anomaly,0,1,0,1798,0.0,0.0,0.0,0.999
ts-route-plan-service_energy_Anomaly,120,120,0,1559,0.5,1.0,0.667,0.933
ts-route-service_energy_Anomaly,9,10,0,1780,0.474,1.0,0.643,0.994
ts-seat-service_energy_Anomaly,12,13,0,1774,0.48,1.0,0.649,0.993
ts-security-mongo_energy_Anomaly,84,85,0,1630,0.497,1.0,0.664,0.953
ts-security-service_energy_Anomaly,30,31,0,1738,0.492,1.0,0.66,0.983
ts-station-mongo_energy_Anomaly,0,1,0,1798,0.0,0.0,0.0,0.999
ts-station-service_energy_Anomaly,11,12,0,1776,0.478,1.0,0.647,0.993
ts-ticket-office-mongo_energy_Anomaly,85,85,0,1629,0.5,1.0,0.667,0.953
ts-ticket-office-service_energy_Anomaly,0,1,0,1798,0.0,0.0,0.0,0.999
ts-ticketinfo-service_energy_Anomaly,11,12,0,1776,0.478,1.0,0.647,0.993
ts-train-mongo_energy_Anomaly,2,3,0,1794,0.4,1.0,0.571,0.998
ts-train-service_energy_Anomaly,14,15,0,1770,0.483,1.0,0.651,0.992
ts-travel-mongo_energy_Anomaly,17,18,0,1764,0.486,1.0,0.654,0.99
ts-travel-plan-service_energy_Anomaly,122,122,0,1555,0.5,1.0,0.667,0.932
ts-travel-service_energy_Anomaly,60,61,0,1678,0.496,1.0,0.663,0.966
ts-travel2-mongo_energy_Anomaly,0,1,0,1798,0.0,0.0,0.0,0.999
ts-travel2-service_energy_Anomaly,0,1,0,1798,0.0,0.0,0.0,0.999
ts-ui-dashboard_energy_Anomaly,18,19,0,1762,0.486,1.0,0.654,0.989
ts-user-mongo_energy_Anomaly,52,53,0,1694,0.495,1.0,0.662,0.971
ts-user-service_energy_Anomaly,43,44,0,1712,0.494,1.0,0.661,0.976
ts-verification-code-service_energy_Anomaly,2,3,0,1794,0.4,1.0,0.571,0.998
ts-voucher-mysql_energy_Anomaly,41,42,0,1716,0.494,1.0,0.661,0.977
ts-voucher-service_energy_Anomaly,0,1,0,1798,0.0,0.0,0.0,0.999
