Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,13931,0,420.0,448.5794045569902,32.59681607596576,2021.886012982577,8649.0,44.99262667112666,0.0,420,490,540,580,690,770,860,1100,1700,2000,2000
GET,/basket.html,13065,0,440.0,454.17055355071653,25.353959994390607,1005.0459948834032,23388.0,42.19572661390207,0.0,440,510,550,580,670,730,790,840,970,1000,1000
POST,/cart,80248,0,540.0,541.7963629754454,61.932289972901344,1172.0813810825348,0.0,259.17509906715753,0.0,540,610,660,690,760,810,880,920,1100,1200,1200
GET,/catalogue,13786,0,460.0,470.9975231955271,26.15108503960073,1062.246988993138,2795.0,44.524323543762264,0.0,460,530,570,600,700,770,840,890,1000,1100,1100
GET,/category.html,13803,0,460.0,463.4391352255835,27.74283103644848,1043.5177360195667,11518.0,44.57922804834981,0.0,460,520,570,610,690,760,820,860,990,1000,1000
GET,/login,13903,0,470.0,490.5227398330235,53.52528998628259,1190.4555521905422,13.0,44.90219572239422,0.0,470,570,640,680,760,810,870,910,1100,1200,1200
POST,/orders,12961,12961,560.0,563.2485144102982,87.12446899153292,1229.9496030900627,227.0,41.859840232895884,41.859840232895884,560,640,690,710,780,840,910,950,1100,1200,1200
,Aggregated,161697,12961,500.0,511.27105876138796,25.353959994390607,2021.886012982577,3875.7129012906857,522.2290398995884,41.859840232895884,500,580,630,670,750,800,870,910,1200,1700,2000
