service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly,7,2,40,1723,0.778,0.149,0.25,0.976
redis_energy_Anomaly,9,1,23,1739,0.9,0.281,0.428,0.986
ts-account-mongo_energy_Anomaly,7,2,83,1680,0.778,0.078,0.142,0.952
ts-admin-basic-info-service_energy_Anomaly,11,2,91,1668,0.846,0.108,0.192,0.948
ts-admin-order-service_energy_Anomaly,3,0,12,1757,1.0,0.2,0.333,0.993
ts-admin-route-service_energy_Anomaly,8,2,81,1681,0.8,0.09,0.162,0.953
ts-admin-travel-service_energy_Anomaly,16,4,101,1651,0.8,0.137,0.234,0.941
ts-admin-user-service_energy_Anomaly,4,0,16,1752,1.0,0.2,0.333,0.991
ts-assurance-mongo_energy_Anomaly,0,0,0,1772,0.0,0.0,0.0,1.0
ts-assurance-service_energy_Anomaly,0,0,0,1772,0.0,0.0,0.0,1.0
ts-auth-mongo_energy_Anomaly,0,0,1,1771,0.0,0.0,0.0,0.999
ts-auth-service_energy_Anomaly,0,0,4,1768,0.0,0.0,0.0,0.998
ts-avatar-service_energy_Anomaly,9,3,10,1750,0.75,0.474,0.581,0.993
ts-basic-service_energy_Anomaly,10,0,11,1751,1.0,0.476,0.645,0.994
ts-cancel-service_energy_Anomaly,10,5,12,1745,0.667,0.455,0.541,0.99
ts-config-mongo_energy_Anomaly,9,1,44,1718,0.9,0.17,0.286,0.975
ts-config-service_energy_Anomaly,9,0,13,1750,1.0,0.409,0.581,0.993
ts-consign-mongo_energy_Anomaly,5,1,73,1693,0.833,0.064,0.119,0.958
ts-consign-price-mongo_energy_Anomaly,9,0,67,1696,1.0,0.118,0.211,0.962
ts-consign-price-service_energy_Anomaly,13,2,45,1712,0.867,0.224,0.356,0.973
ts-consign-service_energy_Anomaly,9,1,44,1718,0.9,0.17,0.286,0.975
ts-contacts-mongo_energy_Anomaly,0,0,0,1772,0.0,0.0,0.0,1.0
ts-contacts-service_energy_Anomaly,0,0,0,1772,0.0,0.0,0.0,1.0
ts-execute-service_energy_Anomaly,7,2,13,1750,0.778,0.35,0.483,0.992
ts-food-map-mongo_energy_Anomaly,0,0,0,1772,0.0,0.0,0.0,1.0
ts-food-map-service_energy_Anomaly,0,0,0,1772,0.0,0.0,0.0,1.0
ts-food-mongo_energy_Anomaly,0,0,0,1772,0.0,0.0,0.0,1.0
ts-food-service_energy_Anomaly,0,0,0,1772,0.0,0.0,0.0,1.0
ts-inside-payment-mongo_energy_Anomaly,10,1,78,1683,0.909,0.114,0.203,0.955
ts-inside-payment-service_energy_Anomaly,10,2,53,1707,0.833,0.159,0.267,0.969
ts-news-mongo_energy_Anomaly,7,0,67,1698,1.0,0.095,0.174,0.962
ts-news-service_energy_Anomaly,1,0,0,1771,1.0,1.0,1.0,1.0
ts-notification-service_energy_Anomaly,10,3,10,1749,0.769,0.5,0.606,0.993
ts-order-mongo_energy_Anomaly,0,0,0,1772,0.0,0.0,0.0,1.0
ts-order-other-mongo_energy_Anomaly,10,2,51,1709,0.833,0.164,0.274,0.97
ts-order-other-service_energy_Anomaly,9,1,20,1742,0.9,0.31,0.461,0.988
ts-order-service_energy_Anomaly,0,0,0,1772,0.0,0.0,0.0,1.0
ts-payment-mongo_energy_Anomaly,6,0,58,1708,1.0,0.094,0.172,0.967
ts-payment-service_energy_Anomaly,8,3,36,1725,0.727,0.182,0.291,0.978
ts-preserve-other-service_energy_Anomaly,13,8,26,1725,0.619,0.333,0.433,0.981
ts-preserve-service_energy_Anomaly,0,0,0,1772,0.0,0.0,0.0,1.0
ts-price-mongo_energy_Anomaly,10,3,57,1702,0.769,0.149,0.25,0.966
ts-price-service_energy_Anomaly,13,1,20,1738,0.929,0.394,0.553,0.988
ts-rebook-mongo_energy_Anomaly,7,1,77,1687,0.875,0.083,0.152,0.956
ts-rebook-service_energy_Anomaly,8,2,72,1690,0.8,0.1,0.178,0.958
ts-route-mongo_energy_Anomaly,6,2,61,1703,0.75,0.09,0.161,0.964
ts-route-plan-service_energy_Anomaly,14,6,106,1646,0.7,0.117,0.2,0.937
ts-route-service_energy_Anomaly,12,1,15,1744,0.923,0.444,0.6,0.991
ts-seat-service_energy_Anomaly,13,1,5,1753,0.929,0.722,0.813,0.997
ts-security-mongo_energy_Anomaly,0,0,0,1772,0.0,0.0,0.0,1.0
ts-security-service_energy_Anomaly,0,0,0,1772,0.0,0.0,0.0,1.0
ts-station-mongo_energy_Anomaly,7,2,52,1711,0.778,0.119,0.206,0.97
ts-station-service_energy_Anomaly,12,0,9,1751,1.0,0.571,0.727,0.995
ts-ticket-office-mongo_energy_Anomaly,7,0,65,1700,1.0,0.097,0.177,0.963
ts-ticket-office-service_energy_Anomaly,1,0,0,1771,1.0,1.0,1.0,1.0
ts-ticketinfo-service_energy_Anomaly,10,0,12,1750,1.0,0.455,0.625,0.993
ts-train-mongo_energy_Anomaly,11,3,35,1723,0.786,0.239,0.367,0.979
ts-train-service_energy_Anomaly,11,0,6,1755,1.0,0.647,0.786,0.997
ts-travel-mongo_energy_Anomaly,8,1,55,1708,0.889,0.127,0.222,0.968
ts-travel-plan-service_energy_Anomaly,11,3,76,1682,0.786,0.126,0.217,0.955
ts-travel-service_energy_Anomaly,14,4,7,1747,0.778,0.667,0.718,0.994
ts-travel2-mongo_energy_Anomaly,10,2,57,1703,0.833,0.149,0.253,0.967
ts-travel2-service_energy_Anomaly,9,0,16,1747,1.0,0.36,0.529,0.991
ts-ui-dashboard_energy_Anomaly,1,0,25,1746,1.0,0.038,0.073,0.986
ts-user-mongo_energy_Anomaly,0,0,3,1769,0.0,0.0,0.0,0.998
ts-user-service_energy_Anomaly,0,0,4,1768,0.0,0.0,0.0,0.998
ts-verification-code-service_energy_Anomaly,12,0,32,1728,1.0,0.273,0.429,0.982
ts-voucher-mysql_energy_Anomaly,11,3,35,1723,0.786,0.239,0.367,0.979
ts-voucher-service_energy_Anomaly,0,0,0,1772,0.0,0.0,0.0,1.0
