Method,Name,Error,Occurrences
POST,/api/v1/travelservice/trips/left,RemoteDisconnected('Remote end closed connection without response'),3965
GET,/api/v1/contactservice/contacts/account/d910090d-b267-4ab1-bd91-48ee870c584f,RemoteDisconnected('Remote end closed connection without response'),12
GET,/api/v1/contactservice/contacts/account/0edd6984-fa25-4a5e-8b26-ffaf3e1c1e57,RemoteDisconnected('Remote end closed connection without response'),1
GET,/api/v1/contactservice/contacts/account/4ffba79b-cfbc-4e7c-9bd4-14c533beeec4,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/v1/contactservice/contacts/account/045db6f6-15dd-4bf0-962b-082952fa6dd2,RemoteDisconnected('Remote end closed connection without response'),6
GET,/api/v1/contactservice/contacts/account/3fadb349-8222-4b98-8d09-e7ebfb34d055,RemoteDisconnected('Remote end closed connection without response'),8
GET,/api/v1/contactservice/contacts/account/ab3dcb7a-2594-4943-9727-9cde463aba72,RemoteDisconnected('Remote end closed connection without response'),4
GET,/api/v1/contactservice/contacts/account/7910cf7d-d5d7-419e-a283-d8ca28aa80bc,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/30cb798b-9a1c-4921-88ee-2f8594e3dcb6,RemoteDisconnected('Remote end closed connection without response'),2
GET,/api/v1/contactservice/contacts/account/7ce95b69-8e0a-473b-ab2b-fdc50e4b7993,RemoteDisconnected('Remote end closed connection without response'),1
GET,/api/v1/contactservice/contacts/account/18a55dde-c927-4972-98be-08a6200b2b2a,RemoteDisconnected('Remote end closed connection without response'),6
GET,/api/v1/contactservice/contacts/account/e231cd01-84a8-4901-8cf5-a6ca4958cd31,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/a9f6fe9c-1efd-4e98-9fea-7036caf492dc,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/v1/contactservice/contacts/account/ac6bcaa9-63da-4c9e-8b96-e8dbc3899c36,RemoteDisconnected('Remote end closed connection without response'),2
GET,/api/v1/contactservice/contacts/account/259f9bd7-1c82-4c32-a8e0-b13dbc1053d4,RemoteDisconnected('Remote end closed connection without response'),12
GET,/api/v1/contactservice/contacts/account/934d0664-98dd-4e4c-b147-43a1519c00c3,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/v1/contactservice/contacts/account/e5ac4837-012b-4e60-8b53-9c6c7b0c2f3d,RemoteDisconnected('Remote end closed connection without response'),17
