service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly,6,1,25,1765,0.857,0.194,0.316,0.986
redis_energy_Anomaly,11,2,17,1767,0.846,0.393,0.537,0.989
ts-account-mongo_energy_Anomaly,5,1,83,1708,0.833,0.057,0.107,0.953
ts-admin-basic-info-service_energy_Anomaly,6,2,140,1649,0.75,0.041,0.078,0.921
ts-admin-order-service_energy_Anomaly,0,0,10,1787,0.0,0.0,0.0,0.994
ts-admin-route-service_energy_Anomaly,10,1,142,1644,0.909,0.066,0.123,0.92
ts-admin-travel-service_energy_Anomaly,9,4,136,1648,0.692,0.062,0.114,0.922
ts-admin-user-service_energy_Anomaly,4,0,19,1774,1.0,0.174,0.296,0.989
ts-assurance-mongo_energy_Anomaly,0,0,0,1797,0.0,0.0,0.0,1.0
ts-assurance-service_energy_Anomaly,0,0,0,1797,0.0,0.0,0.0,1.0
ts-auth-mongo_energy_Anomaly,0,0,0,1797,0.0,0.0,0.0,1.0
ts-auth-service_energy_Anomaly,0,0,3,1794,0.0,0.0,0.0,0.998
ts-avatar-service_energy_Anomaly,7,2,12,1776,0.778,0.368,0.5,0.992
ts-basic-service_energy_Anomaly,11,0,10,1776,1.0,0.524,0.688,0.994
ts-cancel-service_energy_Anomaly,15,9,23,1750,0.625,0.395,0.484,0.982
ts-config-mongo_energy_Anomaly,9,0,40,1748,1.0,0.184,0.311,0.978
ts-config-service_energy_Anomaly,10,0,6,1781,1.0,0.625,0.769,0.997
ts-consign-mongo_energy_Anomaly,8,1,84,1704,0.889,0.087,0.158,0.953
ts-consign-price-mongo_energy_Anomaly,5,1,71,1720,0.833,0.066,0.122,0.96
ts-consign-price-service_energy_Anomaly,9,1,55,1732,0.9,0.141,0.244,0.969
ts-consign-service_energy_Anomaly,10,3,50,1734,0.769,0.167,0.274,0.971
ts-contacts-mongo_energy_Anomaly,0,0,0,1797,0.0,0.0,0.0,1.0
ts-contacts-service_energy_Anomaly,0,0,0,1797,0.0,0.0,0.0,1.0
ts-execute-service_energy_Anomaly,7,4,37,1749,0.636,0.159,0.254,0.977
ts-food-map-mongo_energy_Anomaly,0,0,0,1797,0.0,0.0,0.0,1.0
ts-food-map-service_energy_Anomaly,0,0,0,1797,0.0,0.0,0.0,1.0
ts-food-mongo_energy_Anomaly,0,0,0,1797,0.0,0.0,0.0,1.0
ts-food-service_energy_Anomaly,0,0,0,1797,0.0,0.0,0.0,1.0
ts-inside-payment-mongo_energy_Anomaly,7,1,58,1731,0.875,0.108,0.192,0.967
ts-inside-payment-service_energy_Anomaly,6,1,61,1729,0.857,0.09,0.163,0.965
ts-news-mongo_energy_Anomaly,7,1,57,1732,0.875,0.109,0.194,0.968
ts-news-service_energy_Anomaly,2,0,0,1795,1.0,1.0,1.0,1.0
ts-notification-service_energy_Anomaly,13,4,21,1759,0.765,0.382,0.51,0.986
ts-order-mongo_energy_Anomaly,0,0,0,1797,0.0,0.0,0.0,1.0
ts-order-other-mongo_energy_Anomaly,7,0,50,1740,1.0,0.123,0.219,0.972
ts-order-other-service_energy_Anomaly,8,0,14,1775,1.0,0.364,0.534,0.992
ts-order-service_energy_Anomaly,0,0,0,1797,0.0,0.0,0.0,1.0
ts-payment-mongo_energy_Anomaly,8,0,47,1742,1.0,0.145,0.253,0.974
ts-payment-service_energy_Anomaly,7,3,58,1729,0.7,0.108,0.187,0.966
ts-preserve-other-service_energy_Anomaly,6,1,50,1740,0.857,0.107,0.19,0.972
ts-preserve-service_energy_Anomaly,0,0,0,1797,0.0,0.0,0.0,1.0
ts-price-mongo_energy_Anomaly,10,3,45,1739,0.769,0.182,0.294,0.973
ts-price-service_energy_Anomaly,13,0,15,1769,1.0,0.464,0.634,0.992
ts-rebook-mongo_energy_Anomaly,7,2,72,1716,0.778,0.089,0.16,0.959
ts-rebook-service_energy_Anomaly,10,1,118,1668,0.909,0.078,0.144,0.934
ts-route-mongo_energy_Anomaly,7,1,57,1732,0.875,0.109,0.194,0.968
ts-route-plan-service_energy_Anomaly,11,2,132,1652,0.846,0.077,0.141,0.925
ts-route-service_energy_Anomaly,10,1,13,1773,0.909,0.435,0.588,0.992
ts-seat-service_energy_Anomaly,9,1,6,1781,0.9,0.6,0.72,0.996
ts-security-mongo_energy_Anomaly,0,0,0,1797,0.0,0.0,0.0,1.0
ts-security-service_energy_Anomaly,0,0,0,1797,0.0,0.0,0.0,1.0
ts-station-mongo_energy_Anomaly,10,1,40,1746,0.909,0.2,0.328,0.977
ts-station-service_energy_Anomaly,8,0,13,1776,1.0,0.381,0.552,0.993
