time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue_disk,catalogue-db_disk,front-end_disk,orders-db_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1720455155.939,0.1081078855847788,0.009569550889385627,0.0040127155209442175,0.002679497454453179,0.03214050017348747,0.0043877604855696705,0.005138304581422122,0.00190100894598581,0.00663513071635311,0.08618356960703898,0.004810632254723381,0.005415152739996045,0.0073914834394904465,45200860.63641182,10384771.76814774,884341.9052421238,19927.306058416034,4431480.195036434,15056330.51254573,15484423.457173664,192802.71506566327,105793722.72069465,13406604.130937291,14125194.756955607,224493.47568208777,3694897.6160145593,22241759.874252923,23741.671237886265,382.467738622145,18122.29645167545,115192.75370258772,2497.4686818668933,1047.9340655324281,11634.646598790025,26316503.617945004,5651432.406233689,6977565.770206079,1897.9833926453143,7528.589626933577,0,74.89486194916803,0,0,28746.706988805498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07079714511905079,0.004507971168631187,0.00137951964064897,0.0009025002455412282,0.006556394704253777,0.0015425841179075646,0.00046102040173327113,0.0003939660009416817,0.001013915589801345,0.008592511711772183,0.0008673448385917756,0.0009673595500630005,0.0009628472455337017
1720455160.939,0.38316442364039954,0.030010101299884174,0.009258291625901364,0.006079448354698219,0.20261709167876066,0.006971832829270091,0.005237208547925608,0.001937781055133384,0.00680964029239444,0.08386559377508251,0.004838754484366193,0.0075210000378468506,0.007904939667014672,45828224.04735479,10100617.621442918,689642.4973729028,35975.46546655537,39208755.92374936,22532834.2861358,15152416.595135907,179958.40415227445,107412441.16296583,12830236.903594043,21598860.743357677,227559.68699504348,3104953.6055094604,22639605.771365147,28830.202093812764,1706.8521940790665,31961.673864914894,17835592.33341926,7423877.254453583,1025.4649499284692,449.14743132847195,26719277.682884276,5407392.134130028,7115432.192741245,2305.3432342635124,7577.26615015477,0,72.80354064094132,0,0,16707363.469605157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08146856582229772,0.011036537185750876,0.0026544018488827694,0.0018611704113308972,0.013467740188698323,0.0058990958801658595,0.00046388413092550565,0.00045015531976846197,0.0012201386164443879,0.00899393517612956,0.0008280221367439863,0.0014257757452567543,0.0011897299855432896
1720455165.939,0.46336499114025154,0.051646824053880436,0.012987489871249184,0.009252595928983913,0.44035849525513027,0.037855987692862976,0.00506552893000128,0.002034935449111986,0.007145145035105318,0.0825188865776104,0.004721972398958868,0.010895897281285875,0.009036630539437318,53522644.03127844,13024524.166773668,692444.7113261864,36078.98631818346,45933341.5240073,22050693.855454303,15486565.583810167,180401.79269563357,133308721.50998451,12780663.800760295,21438699.732485,232927.66934557978,3110668.741190899,30155990.713051878,670407.5426013904,17000.05298387524,32012.707122486554,19946606.323176626,14522376.685013084,1048.3172154073966,375.21171525714135,26530218.14534513,5388232.920027001,7062794.013448052,17487.944890929964,7572.5503834819065,0,75.13252746849606,0,0,21792533.28673899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1202635317976519,0.021262435996897523,0.004482762866796038,0.0034232025571355323,0.1423664626422089,0.015056967541226323,0.00042753144043451377,0.000605861780668869,0.0012402464516962437,0.01133338699009707,0.000847811365891781,0.00216725016551671,0.0014583192317547383
1720455170.939,0.5349449596123655,0.07059734459866847,0.017109140509777385,0.012469127926727374,0.6881182606977408,0.08563425137367578,0.005219480531429413,0.0024421281253280205,0.007222902359898377,0.07996886617217855,0.004426491530638129,0.01593284494622373,0.011598293525982436,44586770.61339397,10366481.494305238,700114.4483195391,39267.98933965059,74362055.15831314,29214137.116178848,12993554.54143972,177366.0993775411,135510681.12637413,15594313.312140986,28614182.489413295,237140.33602852465,2451364.9057146967,29332897.9120423,667302.7790432802,17127.964881231237,32824.40035534499,36300218.4851947,21639001.04147962,1055.2038863535995,663.1885726621812,26968845.18843965,7515082.18541446,7071229.794780846,18218.868739983074,7591.190441917374,0,74.64236902050114,0,0,33731158.367183104,0,0,0,0,0,0,0,73.70087807686771,0,0,0,0,0,0,0,0.14532470361736147,0.03048746954500151,0.004619774940809359,0.004989763472803263,0.21290777027323565,0.030535720643154265,0.0004998163703124279,0.0007315258289201806,0.0013271428626724785,0.0116536723762041,0.0008645649901210859,0.0031730968789742157,0.0016984699404787426
1720455175.939,0.6124524745701552,0.09326860821900221,0.020464496783561235,0.016052584695298584,0.9629591575900551,0.12137051624882252,0.004973664538391984,0.0028968651713796433,0.00453439338235296,0.07687422077427085,0.004481562712434192,0.021973410470795988,0.013774904575447756,37160261.100185834,12832466.398165038,744323.4818409057,3951824.624756069,72648169.71271783,22151892.761394102,15630875.975715525,179088.8567293777,132384639.81454651,13055874.548523515,29529049.71426437,467202.73154075973,2469599.013849612,29364803.14648096,1289112.969351081,18369.063373033376,32346.081596177348,35955602.044345565,21874394.029418156,982.59858648115,1407.8147612156295,815.9953636627065,5508490.6982231345,7297314.757404849,19521.411296059185,7647.886302661156,0,73.9764127941628,0,0,33399058.50945495,0,0,0,0,0,0,0,74.25132332680734,0,0,0,0,0,0,0,0.15752567953893035,0.031306576460687185,0.004600592428607282,0.005077405700695429,0.21609963314831257,0.06013953220079151,0.00045983280117092786,0.0009057452344681273,0.0009106808543549884,0.010285890029262173,0.0008824752388157425,0.005713862434936144,0.0017659086164797427
1720455180.939,0.7114954743318948,0.11354552711449233,0.026050225003132997,0.019620062333187915,1.1960087988238273,0.1851718380125667,0.004879281576067129,0.0029327238843721765,0.004534331952194164,0.07597598568581267,0.0042884405295204155,0.025523188949736774,0.015780812121884886,45325480.61346313,10366913.475900762,911419.9473655943,7937470.181122073,97799100.90900342,22217820.942142155,12877070.850054724,179010.37037037036,107691618.95291236,13038253.01685088,28910835.347680602,259060.20430341232,2528409.0951138735,37294552.08008082,1300769.8641116254,18332.527704674438,3699126.490943896,51048122.4258326,21953090.18268986,971.3243341846041,1480.0361336946703,829.7147487247482,5503364.522558435,7144464.719972206,19956.2413967978,7805.369003348688,0,74.61109694342235,0,0,43001646.20340213,0,74.71725647573878,0,0,0,0,0,75.78028158590959,0,0,0,0,0,0,0,0.1779903694934133,0.032451833672090015,0.004723564250010772,0.0052759594739283724,0.2580406196573195,0.07129227872777157,0.000390348625137574,0.0009954214573269099,0.0009277420204402094,0.010618618026323252,0.0009025939397342506,0.00733256209873989,0.002575129193526417
1720455185.939,0.793057365272329,0.13293496799701374,0.03020918002122547,0.022890156967173877,1.4267200381606715,0.20290127255500018,0.004830335646608296,0.003366896840419336,0.0045027268363111665,0.07555495111191139,0.0037420938873352298,0.030493363462709724,0.01764884376941916,37860632.22265201,10390738.36434349,925320.930232558,7841873.7978802705,111867580.13785154,29389422.801349964,12693910.5733446,358280.72218986606,131922173.18173614,12954674.061402716,35886229.32481022,261063.73626373627,2495899.404174434,29894364.517139122,1305077.875362901,18976.744186046508,3653464.9044667045,57540461.39310059,29039175.585193742,957.3362578882077,1490.9726266744324,887.0600974553329,5469692.26613847,7095662.078233392,20639.185205038862,7785.64901122199,0,149.5791261160918,0,0,51328382.4403854,0,73.6412506067852,0,0,0,0,0,74.86200972328837,0,0,0,0,0,0,0,0.20772914753822222,0.04286197888325847,0.00670592426571624,0.006999986141488407,0.3678490717600845,0.07937512387547137,0.0005677083128795325,0.0010931833154937563,0.0010138058673048028,0.013840454442339289,0.0009126811881401375,0.00864443711779963,0.0030030683538813064
1720455190.939,0.8456007207497329,0.15474461535779646,0.033564980031223914,0.025917713054923852,1.703591459345414,0.25646028621398037,0.004849424602297833,0.003804018764124032,0.004139699104350304,0.0727155136612022,0.0037414328877296357,0.037852728719415196,0.020436785481358022,37201547.80815226,10203645.404553352,759625.603601641,11823008.932493774,131394745.90252154,30168325.282697614,12998796.877301516,362665.8763383099,129889901.62069945,13023584.265190171,28628818.606673185,509785.8954474956,1863376.49914852,29377478.6242831,1904085.6933025238,19035.25396652507,3678692.634353492,76374219.65922341,29797484.648270503,1055.8256002356752,1745.045011669692,655.1037816320727,7327086.309846922,7077667.789732999,21748.67256637168,7717.381064531324,0,146.73903308434987,0,0,51896798.22162934,0,75.41611430254824,0,0,0,0,0,74.20558715895504,0,0,0,0,0,0,0,0.23408164017252953,0.05279527622202912,0.0068970656588731695,0.007003377859171857,0.37046869726678483,0.0953716084115444,0.000677254390080548,0.0010577561273179728,0.0010945435742645542,0.01391837632906006,0.0008359389157226514,0.008923895716475486,0.0030919983643314395
1720455195.939,0.8923470694350519,0.17710429583769619,0.036968970278128066,0.02962599776467259,1.9476830867716104,0.27467950280273223,0.004827351572888394,0.0040363906611782865,0.0041584860360441775,0.07127051163633073,0.003925129888551138,0.04202589231609619,0.022241599169594378,45039230.603330106,10297120.257397465,918328.7095418243,11805871.03377687,142709133.60201553,37768258.37107432,12857272.300041893,181398.80186702928,132123302.47103271,15205458.806483746,29114686.41429493,520572.0663739862,1932377.477595957,37044196.15082339,1924319.6500551307,18580.355891831303,3673538.2365842965,95617918.91909349,37294005.49409755,1044.536330352101,1580.6534602521224,666.3653946964083,7333112.233994386,7197823.045040067,22477.862936230376,8003.156292858888,0,148.07584548921787,0,0,65022950.99570304,0,74.60973788229293,0,0,0,0,0,76.95342589287392,0,0,0,0,0,0,0,0.25668231314991286,0.05422724192643813,0.006944441093286533,0.007137823376738968,0.4686342659049518,0.1027184982091208,0.0008280298294455445,0.0013162886593925437,0.0011793746839468809,0.015409086511629193,0.000853065749631524,0.010994141453967906,0.004155939943344183
1720455200.939,0.9656666188550032,0.19841988092663126,0.04222396115888818,0.033773032601630275,2.1832174090499916,0.2889529155662842,0.00496379262613904,0.004417745948945616,0.0040147869523131105,0.06995902889780135,0.0038814165837779183,0.046239628137276174,0.024430980904540833,46275021.01480631,10202915.545376467,775471.9189324199,12085449.28620877,173848094.37532663,43914586.15409558,10314610.76313435,182600.07399186087,133494080.83575329,12894494.306381151,28585109.539741386,514049.1279603451,1255673.8720441025,45702615.16753522,2526286.8594331522,19218.725469207166,3760484.6670533433,114660552.01409768,43363469.726720825,972.3708478661822,1666.8886422493524,673.2781765382719,7252997.2069039615,7066350.013563613,22484.00954653938,7873.494849847671,0,146.57887202977383,0,0,76771299.88819051,0,74.79775752816786,0,0,0,0,0,74.27825330044972,0,0,0,0,0,0,0,0.26083063811140206,0.06542196743536521,0.009128765835041002,0.008867103229535723,0.5020710258755848,0.10487681199804758,0.0009122442220418446,0.0014280755303070264,0.001152409240733769,0.015135490964758087,0.0008805228696015508,0.011948024532529316,0.004495385221728348
